schedule_id,Depature Day,Depature Time,Arrival Day,Arrival Time
50068,2020-06-01,00:31:11,2020-06-01,04:38:05
32255,2021-09-10,12:32:08,2021-09-10,14:33:56
55979,2019-09-05,00:20:26,2019-09-05,02:22:14
60331,2021-07-28,10:49:38,2021-07-28,13:05:50
5538,2020-07-23,11:39:20,2020-07-23,13:55:32
59586,2021-06-10,17:23:05,2021-06-10,19:25:11
22192,2020-06-07,04:31:59,2020-06-07,06:50:35
13256,2021-07-06,12:50:53,2021-07-06,19:41:53
55568,2020-04-25,15:02:20,2020-04-25,19:06:14
53163,2020-03-16,04:33:53,2020-03-16,08:37:47
20735,2021-03-14,08:57:08,2021-03-14,15:26:50
20444,2021-12-06,03:34:08,2021-12-06,10:03:50
62387,2020-05-09,16:32:35,2020-05-09,19:03:11
21788,2020-10-22,19:13:32,2020-10-22,21:26:08
43135,2021-10-31,12:35:23,2021-10-31,14:47:59
52118,2021-09-13,05:38:47,2021-09-13,11:29:47
17970,2021-10-27,00:00:53,2021-10-27,05:51:53
1521,2021-10-16,14:01:56,2021-10-16,20:15:26
55242,2019-11-05,04:50:02,2019-11-05,11:03:32
18387,2021-11-09,10:15:20,2021-11-09,12:27:56
10717,2021-04-15,11:30:59,2021-04-15,13:15:59
11512,2020-11-20,11:28:56,2020-11-20,13:13:56
28497,2020-08-04,09:03:23,2020-08-04,10:51:59
33818,2020-10-03,16:26:11,2020-10-03,22:02:47
35825,2020-07-30,08:15:17,2020-07-30,14:18:53
39608,2020-03-05,11:11:26,2020-03-05,17:15:02
21622,2019-07-27,03:01:26,2019-07-27,09:05:02
53437,2020-08-04,08:34:17,2020-08-04,10:31:35
57002,2019-09-20,00:23:14,2019-09-20,02:20:32
13421,2020-11-09,07:43:59,2020-11-09,13:58:59
16890,2019-11-25,23:44:32,2019-11-26,05:59:32
44792,2021-10-15,15:00:23,2021-10-15,17:18:59
62165,2020-09-01,14:37:02,2020-09-01,16:55:38
44667,2020-09-09,11:40:23,2020-09-09,13:58:59
55064,2021-02-15,13:29:05,2021-02-15,20:18:35
38024,2021-12-28,23:53:38,2021-12-29,06:43:08
55018,2019-12-29,15:19:08,2019-12-29,22:04:08
28766,2019-08-18,01:30:41,2019-08-18,08:15:41
4918,2021-09-19,06:34:56,2021-09-19,13:19:56
36151,2021-10-19,00:37:20,2021-10-19,03:54:44
19811,2021-01-10,14:30:47,2021-01-10,17:48:11
45993,2019-11-28,07:55:41,2019-11-28,11:03:47
21936,2020-07-08,16:21:47,2020-07-08,21:44:17
25279,2020-03-04,10:26:02,2020-03-04,15:48:32
15305,2021-10-02,09:40:20,2021-10-02,12:41:50
35398,2021-04-10,16:10:56,2021-04-10,21:28:02
37911,2021-02-03,17:16:29,2021-02-03,20:25:47
54200,2021-05-17,13:18:32,2021-05-17,16:27:50
38547,2021-09-03,14:32:02,2021-09-03,17:41:20
18712,2019-10-24,21:40:02,2019-10-24,23:41:14
27799,2020-08-10,19:29:20,2020-08-10,20:29:20
56417,2020-12-21,08:11:02,2020-12-21,09:11:02
16456,2021-09-13,05:29:26,2021-09-13,06:29:26
41872,2020-01-30,18:19:50,2020-01-30,22:16:32
42913,2020-06-27,20:00:50,2020-06-27,22:23:56
14780,2020-02-21,12:36:32,2020-02-21,14:59:38
20122,2019-11-01,15:31:32,2019-11-01,18:19:32
61093,2020-01-07,23:12:23,2020-01-08,02:00:23
1581,2021-12-13,07:45:53,2021-12-13,10:33:53
11006,2021-05-06,15:11:53,2021-05-06,18:04:05
33812,2019-11-13,00:24:53,2019-11-13,03:17:05
41037,2020-03-08,13:48:32,2020-03-08,18:28:08
17739,2020-07-08,06:22:02,2020-07-08,11:01:38
59527,2021-01-16,14:43:47,2021-01-16,19:23:23
19197,2020-03-01,11:36:14,2020-03-01,17:20:38
8321,2020-11-12,02:39:59,2020-11-12,08:24:23
490,2021-01-08,22:20:02,2021-01-09,02:37:26
51981,2021-11-05,08:51:35,2021-11-05,13:08:59
42338,2020-05-22,11:09:35,2020-05-22,13:39:53
36717,2021-11-04,15:42:29,2021-11-04,18:12:47
11821,2019-12-29,17:40:53,2019-12-29,22:42:59
21625,2019-12-19,13:04:11,2019-12-19,17:06:53
4695,2021-10-24,02:03:26,2021-10-24,06:06:08
27395,2020-12-11,06:11:47,2020-12-11,10:14:29
29445,2019-12-20,02:35:47,2019-12-20,06:52:17
39664,2020-03-27,22:26:44,2020-03-28,00:35:26
56987,2020-01-17,12:58:14,2020-01-17,15:51:20
52196,2020-01-18,20:30:44,2020-01-18,23:23:50
42546,2021-06-16,01:32:59,2021-06-16,06:06:53
32205,2019-07-31,14:23:53,2019-07-31,18:57:47
59615,2020-07-20,04:13:53,2020-07-20,08:25:35
48757,2019-08-30,22:37:47,2019-08-31,02:49:29
24283,2019-10-05,07:50:44,2019-10-05,12:02:26
51908,2021-08-27,17:32:38,2021-08-27,22:24:14
25309,2019-08-31,19:22:26,2019-09-01,02:12:14
8290,2021-01-03,17:59:05,2021-01-03,22:57:35
12211,2021-04-01,18:26:11,2021-04-01,23:24:41
55035,2021-06-24,22:41:59,2021-06-25,03:40:29
45906,2019-10-29,04:19:56,2019-10-29,06:14:32
38288,2020-06-08,04:56:32,2020-06-08,06:51:08
62718,2020-11-05,06:20:35,2020-11-05,08:43:05
11196,2022-01-28,14:43:02,2022-01-28,17:05:32
56154,2020-02-17,10:59:56,2020-02-17,13:22:26
49225,2021-11-03,15:17:50,2021-11-03,21:21:26
5528,2020-12-15,07:36:02,2020-12-15,13:39:38
61982,2019-12-21,20:37:26,2019-12-22,03:32:02
51017,2021-02-24,23:36:47,2021-02-25,06:31:23
28583,2021-06-24,04:57:38,2021-06-24,12:05:08
40293,2020-11-07,14:52:50,2020-11-07,21:13:32
12990,2020-03-12,18:52:32,2020-03-13,01:13:14
57359,2019-08-17,01:42:32,2019-08-17,08:03:14
55338,2020-05-27,08:46:08,2020-05-27,11:23:02
47922,2021-09-23,13:11:38,2021-09-23,15:48:32
23742,2020-05-26,14:22:11,2020-05-26,16:59:05
55255,2019-09-28,01:37:56,2019-09-28,08:49:38
23883,2021-10-20,19:57:14,2021-10-20,23:09:50
62297,2020-10-05,02:29:05,2020-10-05,05:41:41
60188,2020-04-13,23:41:08,2020-04-14,02:53:44
58373,2021-10-04,18:44:59,2021-10-05,00:21:17
18259,2020-08-16,07:36:44,2020-08-16,13:22:20
48322,2021-12-04,17:03:29,2021-12-04,22:49:05
35257,2021-09-16,12:32:26,2021-09-16,18:50:26
34112,2021-09-10,23:24:17,2021-09-11,05:13:29
57813,2021-01-07,05:31:23,2021-01-07,11:20:35
7840,2021-09-15,14:54:59,2021-09-15,20:44:11
20545,2019-09-23,15:45:50,2019-09-23,19:11:56
52023,2020-08-06,06:14:05,2020-08-06,09:40:11
20580,2020-07-20,05:08:26,2020-07-20,11:53:53
26090,2021-07-22,07:26:59,2021-07-22,14:12:26
23033,2020-04-10,01:17:17,2020-04-10,08:02:44
52176,2021-06-07,17:56:32,2021-06-08,00:40:02
23956,2021-09-04,07:53:50,2021-09-04,14:37:20
21793,2021-12-16,02:55:53,2021-12-16,08:31:44
43969,2021-03-26,18:40:50,2021-03-26,21:52:50
1777,2021-09-19,01:45:38,2021-09-19,04:57:38
21930,2021-04-09,21:01:20,2021-04-10,00:13:20
6167,2021-01-18,21:39:32,2021-01-19,02:51:50
3971,2021-10-12,19:38:59,2021-10-12,22:11:59
101,2021-04-30,10:41:47,2021-04-30,12:45:23
45155,2021-05-03,14:11:59,2021-05-03,16:15:35
31523,2020-09-28,22:37:41,2020-09-29,04:52:05
20175,2021-10-29,17:02:35,2021-10-29,23:16:59
8720,2019-11-09,05:56:35,2019-11-09,11:49:23
18361,2019-12-19,10:15:29,2019-12-19,16:23:35
58453,2019-08-12,22:19:32,2019-08-13,01:30:38
6057,2021-11-24,14:18:11,2021-11-24,19:16:23
55002,2020-01-19,22:59:23,2020-01-20,03:33:35
55529,2019-07-30,09:45:50,2019-07-30,14:20:02
4862,2021-01-31,14:59:29,2021-01-31,21:14:29
34299,2021-02-18,06:22:26,2021-02-18,12:37:26
48731,2021-01-05,07:04:17,2021-01-05,13:09:05
2184,2019-08-09,22:48:50,2019-08-10,04:53:38
39257,2021-09-03,10:20:08,2021-09-03,15:22:50
43723,2019-12-05,05:14:50,2019-12-05,10:17:32
16524,2020-09-21,04:54:02,2020-09-21,09:56:44
16394,2020-06-11,18:02:17,2020-06-11,22:11:17
12609,2020-02-14,18:22:53,2020-02-15,02:07:53
356,2021-01-23,16:41:14,2021-01-24,00:26:14
32855,2020-02-25,03:35:05,2020-02-25,11:20:05
42768,2020-03-28,03:41:59,2020-03-28,05:02:05
46107,2020-01-12,01:23:17,2020-01-12,02:43:23
1157,2019-10-27,23:43:14,2019-10-28,06:35:44
3979,2020-11-11,02:28:50,2020-11-11,09:21:20
25139,2021-10-02,06:49:29,2021-10-02,13:41:59
55599,2020-09-12,13:17:53,2020-09-12,15:46:05
21980,2019-12-16,01:02:05,2019-12-16,07:54:35
19769,2021-01-11,12:58:44,2021-01-11,19:51:14
27698,2021-12-06,00:39:08,2021-12-06,07:31:38
25711,2019-08-12,05:59:08,2019-08-12,13:04:32
57879,2020-11-14,17:48:02,2020-11-15,00:53:26
39470,2020-09-20,02:29:35,2020-09-20,09:34:59
49346,2021-02-10,08:55:14,2021-02-10,16:08:44
33511,2020-12-20,11:41:17,2020-12-20,13:45:29
23843,2021-11-17,15:12:14,2021-11-17,17:16:26
57746,2021-12-25,17:46:14,2021-12-25,21:54:02
47190,2021-05-09,02:42:20,2021-05-09,06:50:08
40214,2019-07-26,18:20:29,2019-07-26,22:28:17
44952,2021-01-27,22:11:02,2021-01-28,05:20:56
30031,2021-12-12,06:20:44,2021-12-12,13:30:38
56403,2019-09-15,08:25:08,2019-09-15,15:35:02
49184,2020-05-12,00:26:53,2020-05-12,04:50:35
46240,2020-08-09,19:05:11,2020-08-09,23:28:53
16463,2020-02-11,17:03:02,2020-02-12,00:24:56
45576,2021-12-24,19:09:56,2021-12-25,02:31:50
23304,2020-01-22,00:34:56,2020-01-22,05:44:50
51643,2019-11-04,06:06:20,2019-11-04,11:16:14
58699,2021-08-23,20:16:38,2021-08-24,01:26:32
2969,2020-08-18,12:44:08,2020-08-18,18:46:14
27942,2021-08-31,20:35:53,2021-09-01,02:37:59
4042,2021-01-10,16:28:35,2021-01-10,22:30:41
11645,2022-01-03,06:22:41,2022-01-03,13:09:29
52719,2021-10-17,06:46:50,2021-10-17,13:33:38
57928,2020-06-20,02:17:05,2020-06-20,05:05:59
2260,2021-03-30,06:49:11,2021-03-30,09:38:05
53103,2020-09-18,21:02:23,2020-09-18,23:51:17
62240,2021-03-15,04:50:02,2021-03-15,12:50:56
15721,2020-09-11,00:38:32,2020-09-11,08:39:26
12972,2019-11-02,22:28:14,2019-11-03,05:29:08
20396,2020-09-05,21:55:20,2020-09-06,05:30:26
11278,2020-02-23,22:55:11,2020-02-24,05:02:23
25296,2021-12-24,18:54:08,2021-12-24,21:16:20
53368,2022-01-25,18:28:26,2022-01-25,20:50:38
16517,2019-08-17,06:22:38,2019-08-17,13:40:20
22452,2020-03-13,20:55:17,2020-03-14,04:12:59
49833,2019-10-24,05:11:29,2019-10-24,12:29:11
48422,2020-12-13,10:49:38,2020-12-13,13:34:38
25323,2021-03-02,17:48:35,2021-03-03,01:30:17
2707,2021-05-10,16:44:20,2021-05-11,00:26:02
1655,2022-01-20,06:39:29,2022-01-20,08:25:41
24683,2020-07-13,16:58:56,2020-07-13,19:00:26
14415,2021-10-05,09:35:08,2021-10-05,11:36:38
584,2020-12-28,23:18:50,2020-12-29,01:01:26
8815,2020-06-19,19:54:17,2020-06-19,21:50:41
32297,2020-03-06,12:49:41,2020-03-06,14:46:05
27688,2021-05-12,05:59:14,2021-05-12,13:13:02
30679,2019-11-19,14:32:29,2019-11-19,16:18:59
54092,2019-08-03,08:56:41,2019-08-03,10:43:11
552,2020-08-02,23:02:32,2020-08-03,06:48:44
59233,2020-02-25,16:23:32,2020-02-25,23:25:20
62367,2020-09-09,21:47:26,2020-09-09,22:27:20
44937,2019-10-28,11:25:20,2019-10-28,17:56:14
21277,2019-12-21,23:11:23,2019-12-22,05:42:17
129,2021-03-05,16:18:41,2021-03-05,17:27:41
7976,2020-08-01,22:22:41,2020-08-01,23:31:41
1966,2019-10-13,08:47:32,2019-10-13,15:18:17
12000,2022-01-25,01:07:41,2022-01-25,07:38:26
4389,2020-02-02,08:57:23,2020-02-02,15:28:08
3714,2022-01-18,18:13:02,2022-01-18,20:23:32
21202,2022-01-23,12:27:02,2022-01-23,14:37:32
55534,2019-10-04,04:59:17,2019-10-04,07:09:47
39074,2020-01-26,14:04:26,2020-01-26,23:00:50
49977,2020-12-07,03:29:23,2020-12-07,12:25:47
12303,2019-09-02,18:59:59,2019-09-02,21:14:59
60836,2019-08-13,18:04:35,2019-08-13,20:19:35
47443,2020-01-23,19:08:38,2020-01-23,21:23:38
5563,2021-01-27,23:53:59,2021-01-28,08:41:59
48215,2020-05-01,16:07:44,2020-05-01,22:36:32
27857,2021-03-01,06:40:05,2021-03-01,13:08:53
10982,2020-12-03,03:50:08,2020-12-03,10:18:56
21327,2019-08-02,17:08:32,2019-08-03,01:31:02
61926,2020-02-11,21:58:05,2020-02-12,06:20:35
62055,2020-01-11,19:18:32,2020-01-12,00:37:44
24324,2020-11-11,11:53:29,2020-11-11,17:12:41
22568,2021-01-03,11:09:11,2021-01-03,19:26:35
51675,2019-08-20,08:29:05,2019-08-20,16:46:29
11741,2020-08-01,03:31:38,2020-08-01,11:49:02
22249,2019-08-17,05:06:29,2019-08-17,13:21:11
18029,2020-07-19,03:22:32,2020-07-19,11:37:14
23256,2019-10-19,03:46:17,2019-10-19,05:23:11
40279,2019-11-20,23:14:14,2019-11-21,00:51:08
39275,2020-06-10,22:12:44,2020-06-10,23:49:38
31542,2021-01-09,06:59:08,2021-01-09,15:37:14
11011,2021-12-14,09:54:17,2021-12-14,17:32:41
12407,2021-09-15,14:38:29,2021-09-15,22:16:53
33750,2022-01-01,19:53:41,2022-01-02,03:32:05
35704,2020-11-17,02:33:02,2020-11-17,10:31:14
31660,2021-03-24,16:22:11,2021-03-25,00:20:23
16183,2019-08-27,01:52:56,2019-08-27,09:41:50
39255,2021-02-27,01:38:53,2021-02-27,08:34:59
22542,2021-02-21,17:04:20,2021-02-22,00:00:26
53568,2021-02-04,16:29:56,2021-02-04,23:26:02
44665,2021-05-05,07:48:05,2021-05-05,09:34:17
50688,2020-11-27,09:53:17,2020-11-27,11:39:29
7518,2020-07-18,12:19:11,2020-07-18,13:57:53
60085,2020-04-25,21:07:53,2020-04-26,04:17:47
36579,2021-08-23,22:53:53,2021-08-23,23:59:35
16156,2021-05-05,01:22:38,2021-05-05,06:14:32
59559,2020-04-03,11:19:53,2020-04-03,16:11:47
48216,2021-01-14,01:05:56,2021-01-14,05:57:50
1430,2022-01-20,09:41:59,2022-01-20,16:10:29
61893,2019-11-28,20:52:14,2019-11-29,02:05:08
11528,2021-02-09,14:20:02,2021-02-09,19:32:56
3688,2019-09-06,03:37:47,2019-09-06,08:50:41
28504,2021-03-26,19:43:17,2021-03-27,04:00:41
12328,2021-10-10,06:19:11,2021-10-10,14:36:35
23434,2021-05-15,01:32:41,2021-05-15,09:50:05
53726,2019-10-28,21:55:20,2019-10-28,23:57:44
16207,2020-09-19,09:41:47,2020-09-19,11:44:11
39222,2021-10-14,07:43:47,2021-10-14,09:46:11
32599,2021-09-23,02:02:41,2021-09-23,09:24:17
62740,2021-10-23,06:41:08,2021-10-23,12:03:20
58015,2021-07-02,11:41:50,2021-07-02,13:54:26
58273,2019-10-22,03:59:02,2019-10-22,06:04:08
20734,2020-09-14,05:15:26,2020-09-14,07:19:38
43979,2021-01-23,03:40:05,2021-01-23,05:44:17
38689,2021-04-23,16:11:08,2021-04-23,18:48:20
43794,2019-12-16,14:35:47,2019-12-16,17:12:59
22168,2021-05-01,14:27:53,2021-05-01,16:13:29
8556,2019-08-20,17:28:47,2019-08-20,19:04:47
8741,2021-04-28,14:49:26,2021-04-28,16:25:26
35627,2020-07-02,04:47:50,2020-07-02,07:16:38
20584,2020-07-25,23:27:47,2020-07-26,01:56:35
39768,2021-01-20,18:18:02,2021-01-20,20:46:50
6868,2021-04-04,07:48:38,2021-04-04,09:06:20
24779,2019-12-02,00:17:59,2019-12-02,00:50:41
56170,2019-11-21,07:35:20,2019-11-21,09:10:08
20053,2020-11-07,12:37:05,2020-11-07,14:44:53
38464,2020-08-27,17:09:47,2020-08-27,19:17:35
42976,2019-11-21,12:44:11,2019-11-21,14:51:59
37940,2020-07-22,00:42:14,2020-07-22,01:40:08
62153,2022-01-13,12:48:44,2022-01-13,13:46:38
37286,2020-09-02,22:20:14,2020-09-02,23:18:08
43805,2020-01-29,16:04:35,2020-01-29,16:55:17
24650,2021-05-16,14:27:35,2021-05-16,15:18:17
37241,2021-01-29,16:52:38,2021-01-29,19:13:56
23353,2021-11-19,18:06:59,2021-11-19,20:28:17
30600,2019-09-29,02:49:20,2019-09-29,05:10:38
27678,2021-04-13,11:51:41,2021-04-13,14:59:29
51640,2020-02-27,21:57:35,2020-02-28,01:05:23
41384,2020-10-01,08:01:44,2020-10-01,11:09:32
26869,2020-07-08,23:52:29,2020-07-09,01:51:53
58130,2020-05-01,03:44:17,2020-05-01,05:43:41
34378,2020-06-22,02:18:05,2020-06-22,04:15:23
25184,2021-08-16,12:29:29,2021-08-16,14:26:47
4230,2020-11-05,09:36:59,2020-11-05,11:34:17
14212,2021-09-27,18:04:02,2021-09-27,19:34:02
60473,2021-04-21,19:17:47,2021-04-21,20:47:47
25958,2019-12-08,21:58:05,2019-12-08,23:28:05
31324,2020-03-01,02:24:11,2020-03-01,11:57:47
50193,2020-08-23,08:00:32,2020-08-23,10:04:26
56343,2020-02-05,22:29:35,2020-02-06,00:33:29
25923,2021-02-12,18:59:38,2021-02-12,20:59:20
40396,2019-10-19,07:11:23,2019-10-19,09:11:05
23144,2021-08-23,16:45:23,2021-08-23,17:42:59
19384,2021-01-30,04:59:41,2021-01-30,05:57:17
5567,2021-03-18,14:59:11,2021-03-18,15:28:35
56407,2020-06-30,20:48:32,2020-06-30,21:17:56
7116,2019-12-07,08:23:14,2019-12-07,08:52:38
16854,2019-10-19,19:22:14,2019-10-19,19:50:44
39585,2020-05-03,20:46:14,2020-05-03,21:14:44
9357,2021-04-01,22:09:02,2021-04-01,22:37:32
2176,2019-11-27,09:52:32,2019-11-27,11:30:20
49428,2021-07-05,10:39:41,2021-07-05,12:17:29
53448,2020-12-05,18:20:59,2020-12-05,21:21:17
1651,2021-03-25,21:01:44,2021-03-25,23:24:14
16459,2020-10-30,02:31:59,2020-10-30,04:54:29
62417,2021-04-13,19:43:20,2021-04-13,21:27:26
62043,2021-12-25,17:08:23,2021-12-25,18:52:29
1123,2021-10-30,10:45:35,2021-10-30,12:29:41
10171,2021-04-12,05:04:44,2021-04-12,06:10:44
41969,2021-01-06,16:10:44,2021-01-06,17:55:44
30136,2021-07-11,09:26:59,2021-07-11,11:11:59
59917,2021-08-28,10:11:32,2021-08-28,11:35:14
42951,2020-01-24,16:00:02,2020-01-24,17:23:44
46839,2021-05-04,01:52:47,2021-05-04,03:16:29
59101,2020-06-18,10:16:11,2020-06-18,13:41:05
35575,2021-11-07,05:56:29,2021-11-07,09:21:23
33295,2021-10-12,06:19:11,2021-10-12,07:54:35
27333,2021-09-03,11:08:20,2021-09-03,12:43:44
32328,2020-06-07,05:56:20,2020-06-07,06:45:14
40000,2019-08-01,10:18:50,2019-08-01,11:07:44
20887,2020-10-17,01:47:17,2020-10-17,02:38:53
29000,2021-03-24,11:54:23,2021-03-24,12:45:59
9850,2021-07-20,02:50:44,2021-07-20,04:10:14
8534,2021-12-18,06:38:41,2021-12-18,07:58:11
18075,2020-11-12,10:01:26,2020-11-12,11:43:08
3263,2021-03-29,15:47:14,2021-03-29,18:02:50
62694,2021-10-22,13:50:59,2021-10-22,16:06:35
36394,2020-04-02,00:24:11,2020-04-02,02:13:23
21369,2020-10-28,02:56:08,2020-10-28,05:37:50
7447,2021-12-16,19:02:59,2021-12-16,21:44:41
2254,2020-06-11,13:04:38,2020-06-11,16:31:02
8103,2020-03-25,18:27:50,2020-03-25,21:54:14
38777,2020-12-21,22:46:26,2020-12-22,02:12:50
33883,2021-05-17,04:50:23,2021-05-17,06:33:53
13666,2021-08-21,11:45:14,2021-08-21,13:28:44
1444,2020-01-27,10:27:05,2020-01-27,12:10:35
19963,2019-07-31,12:55:29,2019-07-31,16:30:53
42354,2020-04-21,17:46:14,2020-04-21,22:29:08
40839,2021-03-13,00:49:26,2021-03-13,05:32:20
10887,2019-11-22,15:34:38,2019-11-22,20:17:32
2137,2020-10-13,00:43:14,2020-10-13,09:52:14
41777,2020-10-19,11:43:53,2020-10-19,12:44:29
21950,2020-12-31,10:45:50,2020-12-31,11:46:26
48033,2021-05-15,01:44:59,2021-05-15,02:03:35
14130,2020-11-08,07:47:26,2020-11-08,09:34:50
45188,2021-06-18,22:29:35,2021-06-19,00:16:59
7869,2021-04-05,00:29:05,2021-04-05,02:16:29
22093,2021-02-10,06:12:05,2021-02-10,08:45:59
27224,2019-09-20,06:54:08,2019-09-20,08:00:26
32735,2021-06-15,11:46:26,2021-06-15,12:51:14
29777,2019-11-23,02:03:35,2019-11-23,03:08:23
38230,2020-02-13,06:16:32,2020-02-13,07:21:20
53230,2020-06-06,07:17:56,2020-06-06,08:35:56
45176,2021-01-01,01:01:17,2021-01-01,02:39:59
50218,2020-11-01,02:37:53,2020-11-01,04:16:35
53008,2019-09-17,05:42:20,2019-09-17,10:43:50
44908,2020-04-23,05:23:47,2020-04-23,06:07:53
54105,2020-10-13,05:01:32,2020-10-13,05:45:38
32449,2021-07-17,15:38:02,2021-07-17,16:09:14
61167,2020-10-09,08:58:56,2020-10-09,10:09:44
19980,2020-12-23,00:54:38,2020-12-23,02:17:26
13897,2021-06-09,04:57:20,2021-06-09,06:20:08
777,2019-09-09,03:34:47,2019-09-09,05:13:11
25086,2021-02-26,19:10:17,2021-02-26,21:20:47
29903,2020-01-24,17:02:47,2020-01-24,19:13:17
58879,2021-09-27,14:51:20,2021-09-27,17:49:14
35346,2020-03-14,15:52:29,2020-03-14,18:50:23
39315,2021-09-13,02:54:47,2021-09-13,05:52:41
50274,2020-03-24,07:20:05,2020-03-24,09:52:11
12800,2020-02-03,17:54:20,2020-02-03,20:26:26
34641,2020-03-19,17:57:50,2020-03-19,19:55:08
32813,2022-01-02,15:56:50,2022-01-02,17:16:38
6256,2020-08-01,12:54:23,2020-08-01,15:15:59
60866,2021-07-17,04:09:59,2021-07-17,07:05:11
13258,2021-03-05,20:36:02,2021-03-05,23:31:14
