regis_no,fir_capacity,bus_capacity,eco_capacity,aircratft_type,company_id
H806999,12,42,96,Airbus A320neo,6620
E708224,12,42,96,Airbus A320neo,6620
M467605,12,42,96,Airbus A320neo,6620
P492879,12,42,96,Airbus A320neo,6620
G714886,12,42,96,Airbus A320neo,6620
R105301,12,42,96,Airbus A320neo,6620
S885275,12,42,96,Airbus A320neo,6620
F562030,12,42,96,Airbus A320neo,6620
J85771,12,42,96,Airbus A320neo,6620
M398755,12,42,96,Airbus A320neo,6620
M920729,12,42,96,Airbus A320neo,6620
L396243,12,42,96,Airbus A320neo,6620
Z145678,12,42,96,Airbus A320neo,6620
W211964,12,42,96,Airbus A320neo,6620
Z56204,12,42,96,Airbus A320neo,6620
Y489135,12,42,96,Airbus A320neo,6620
P858434,12,42,96,Airbus A320neo,6620
I439678,12,42,96,Airbus A320neo,6620
Q124994,12,42,96,Airbus A320neo,6620
S199803,12,42,96,Airbus A320neo,6620
P5565,12,42,96,Airbus A320neo,6620
P642213,12,42,96,Airbus A320neo,6620
D834498,12,42,96,Airbus A320neo,6620
N754739,12,42,96,Airbus A320neo,6620
X439382,12,42,96,Airbus A320neo,6620
W484883,12,42,96,Airbus A320neo,6620
L432179,12,42,96,Airbus A320neo,6620
Q197419,12,42,96,Airbus A320neo,6620
U850209,12,42,96,Airbus A320neo,6620
O65596,12,42,96,Airbus A320neo,6620
Y153936,12,42,96,Airbus A320neo,6620
W806467,12,42,96,Airbus A320neo,6620
Y529014,12,42,96,Airbus A320neo,6620
R544035,12,42,96,Airbus A320neo,6620
V266093,12,42,96,Airbus A320neo,6620
W0360,12,42,96,Airbus A320neo,6620
V38355,12,42,96,Airbus A320neo,6620
Q608505,12,42,96,Airbus A320neo,6620
Y102211,12,42,96,Airbus A320neo,6620
N152525,12,42,96,Airbus A320neo,6620
X273303,12,42,96,Airbus A320neo,6620
U79417,12,42,96,Airbus A320neo,6620
W82828,12,42,96,Airbus A320neo,6620
S551074,12,42,96,Airbus A320neo,6620
S925307,12,42,96,Airbus A320neo,6620
D470406,12,42,96,Airbus A320neo,6620
D495476,12,42,96,Airbus A320neo,6620
D484157,12,42,96,Airbus A320neo,6620
W608748,12,42,96,Airbus A320neo,6620
L948835,12,42,96,Airbus A320neo,6620
X56525,12,42,96,Airbus A320neo,6620
L110222,12,42,96,Airbus A320neo,6620
I446120,12,42,96,Airbus A320neo,6620
B419624,12,42,96,Airbus A320neo,6620
I899414,12,42,96,Airbus A320neo,6620
F870323,12,42,96,Airbus A320neo,6620
S301388,12,42,96,Airbus A320neo,6620
N708836,12,42,96,Airbus A320neo,6620
N34808,12,42,96,Airbus A320neo,6620
H582866,12,42,96,Airbus A320neo,6620
S316443,12,42,96,Airbus A320neo,6620
Q43152,12,42,96,Airbus A320neo,6620
N881118,12,42,96,Airbus A320neo,6620
M314749,12,42,96,Airbus A320neo,6620
A453082,12,42,96,Airbus A320neo,6620
L583601,12,42,96,Airbus A320neo,6620
S142668,12,42,96,Airbus A320neo,6620
E2196,12,42,96,Airbus A320neo,6620
N25385,12,42,96,Airbus A320neo,6620
S396999,12,42,96,Airbus A320neo,6620
M975013,12,42,96,Airbus A320neo,6620
J475614,16,15,156,Airbus A321-200,6620
M530258,16,15,156,Airbus A321-200,6620
Z187140,16,15,156,Airbus A321-200,6620
L672996,16,15,156,Airbus A321-200,6620
T704457,16,15,156,Airbus A321-200,6620
O997685,16,15,156,Airbus A321-200,6620
X516229,16,15,156,Airbus A321-200,6620
X232339,16,15,156,Airbus A321-200,6620
F111084,16,15,156,Airbus A321-200,6620
N278573,16,15,156,Airbus A321-200,6620
Z944393,16,15,156,Airbus A321-200,6620
P387507,16,15,156,Airbus A321-200,6620
G403044,16,15,156,Airbus A321-200,6620
D480680,16,15,156,Airbus A321-200,6620
A787843,16,15,156,Airbus A321-200,6620
X873809,16,15,156,Airbus A321-200,6620
X439863,16,15,156,Airbus A321-200,6620
B787708,16,15,156,Airbus A321-200,6620
K310019,16,15,156,Airbus A321-200,6620
G929793,16,15,156,Airbus A321-200,6620
W895117,16,15,156,Airbus A321-200,6620
Y768682,12,42,96,Airbus A320-200,6620
S745217,12,42,96,Airbus A320-200,6620
G235813,12,42,96,Airbus A320-200,6620
X401525,12,42,96,Airbus A320-200,6620
Q845688,12,42,96,Airbus A320-200,6620
F612555,12,42,96,Airbus A320-200,6620
X594087,12,42,96,Airbus A320-200,6620
X140275,12,42,96,Airbus A320-200,6620
A864969,12,42,96,Airbus A320-200,6620
E951076,12,42,96,Airbus A320-200,6620
D710218,12,42,96,Airbus A320-200,6620
E225073,12,42,96,Airbus A320-200,6620
K358260,12,42,96,Airbus A320-200,6620
Q261913,12,42,96,Airbus A320-200,6620
A770326,12,42,96,Airbus A320-200,6620
W169937,12,15,82,Airbus A220-300,10221
D134449,12,15,82,Airbus A220-300,10221
E876445,12,15,82,Airbus A220-300,10221
Q637798,12,15,82,Airbus A220-300,10221
M226111,12,15,82,Airbus A220-300,10221
P376082,12,15,82,Airbus A220-300,10221
U812113,12,15,82,Airbus A220-300,10221
R26961,12,15,82,Airbus A220-300,10221
E808785,12,15,82,Airbus A220-300,10221
Q300471,12,15,82,Airbus A220-300,10221
F441351,12,15,82,Airbus A220-300,10221
G901710,12,42,96,Airbus A320-200,10221
Q491034,12,42,96,Airbus A320-200,10221
K931235,12,42,96,Airbus A320-200,10221
V504015,12,42,96,Airbus A320-200,10221
R105901,12,42,96,Airbus A320-200,10221
P621310,12,42,96,Airbus A320-200,10221
S630791,12,42,96,Airbus A320-200,10221
B655040,12,42,96,Airbus A320-200,10221
O402977,12,42,96,Airbus A320-200,10221
O897256,12,42,96,Airbus A320-200,10221
T339289,12,42,96,Airbus A320-200,10221
H65154,12,42,96,Airbus A320-200,10221
K428528,12,42,96,Airbus A320-200,10221
E452633,12,42,96,Airbus A320-200,10221
Z297581,12,42,96,Airbus A320-200,10221
U628758,12,42,96,Airbus A320-200,10221
E62372,12,42,96,Airbus A320-200,10221
I69122,12,42,96,Airbus A320-200,10221
I142670,12,42,96,Airbus A320-200,10221
G982318,12,42,96,Airbus A320-200,10221
P327438,12,42,96,Airbus A320-200,10221
H138755,12,42,96,Airbus A320-200,10221
T853966,12,42,96,Airbus A320-200,10221
E843521,12,42,96,Airbus A320-200,10221
Q565209,12,42,96,Airbus A320-200,10221
N627788,12,42,96,Airbus A320-200,10221
F16398,12,42,96,Airbus A320-200,10221
K166505,12,42,96,Airbus A320-200,10221
I399101,12,42,96,Airbus A320-200,10221
D965579,12,42,96,Airbus A320-200,10221
U754952,12,42,96,Airbus A320-200,10221
H103966,12,42,96,Airbus A320-200,10221
S685544,12,42,96,Airbus A320-200,10221
W208423,12,42,96,Airbus A320-200,10221
O14643,12,42,96,Airbus A320-200,10221
P988534,12,42,96,Airbus A320-200,10221
L251270,12,42,96,Airbus A320-200,10221
T124313,12,42,96,Airbus A320-200,10221
S587770,12,42,96,Airbus A320-200,10221
E999679,12,42,96,Airbus A320-200,10221
B718485,12,42,96,Airbus A320-200,10221
F967219,12,42,96,Airbus A320-200,10221
I927458,12,42,96,Airbus A320-200,10221
P143887,12,42,96,Airbus A320-200,10221
C739888,12,42,96,Airbus A320-200,10221
C898269,12,42,96,Airbus A320-200,10221
B217140,12,42,96,Airbus A320-200,10221
N904643,12,42,96,Airbus A320-200,10221
E433072,12,42,96,Airbus A320-200,10221
V443771,12,42,96,Airbus A320-200,10221
B39623,12,42,96,Airbus A320-200,10221
G346731,12,42,96,Airbus A320-200,10221
P721981,12,42,96,Airbus A320-200,10221
E923146,12,42,96,Airbus A320-200,10221
Q692676,12,42,96,Airbus A320-200,10221
I367326,12,42,96,Airbus A320-200,10221
H368621,12,42,96,Airbus A320-200,10221
O784022,12,42,96,Airbus A320-200,10221
O911109,12,42,96,Airbus A320-200,10221
V844546,12,42,96,Airbus A320-200,10221
I292646,12,42,96,Airbus A320-200,10221
P51268,12,42,96,Airbus A320-200,10221
S819757,12,42,96,Airbus A320-200,10221
J134701,12,42,96,Airbus A320-200,10221
S161145,12,42,96,Airbus A320-200,10221
K79202,12,42,96,Airbus A320-200,10221
X478815,12,42,96,Airbus A320-200,10221
H2303,12,42,96,Airbus A320-200,10221
V565079,12,42,96,Airbus A320-200,10221
G402339,12,42,96,Airbus A320-200,10221
Y758739,12,42,96,Airbus A320-200,10221
L106048,12,42,96,Airbus A320-200,10221
J43435,12,42,96,Airbus A320-200,10221
S29309,12,42,96,Airbus A320-200,10221
Z825278,12,42,96,Airbus A320-200,10221
P724081,12,42,96,Airbus A320-200,10221
Y54908,12,42,96,Airbus A320-200,10221
D200519,12,42,96,Airbus A320-200,10221
B521333,12,42,96,Airbus A320-200,10221
V87533,12,42,96,Airbus A320-200,10221
C588829,12,42,96,Airbus A320-200,10221
M701446,12,42,96,Airbus A320-200,10221
D513028,12,42,96,Airbus A320-200,10221
N383614,12,42,96,Airbus A320-200,10221
Z780968,12,42,96,Airbus A320-200,10221
Q90480,12,42,96,Airbus A320-200,10221
B540053,12,42,96,Airbus A320-200,10221
D410668,12,42,96,Airbus A320-200,10221
J788710,12,42,96,Airbus A320-200,10221
M43845,12,42,96,Airbus A320-200,10221
P453823,12,42,96,Airbus A320-200,10221
P227611,12,42,96,Airbus A320-200,10221
I96031,12,42,96,Airbus A320-200,10221
F78221,12,42,96,Airbus A320-200,10221
Y588447,12,42,96,Airbus A320-200,10221
Z878953,12,42,96,Airbus A320-200,10221
I520982,12,42,96,Airbus A320-200,10221
M17211,12,42,96,Airbus A320-200,10221
V80148,12,42,96,Airbus A320-200,10221
O862226,12,42,96,Airbus A320-200,10221
I453456,12,42,96,Airbus A320-200,10221
G996212,12,42,96,Airbus A320-200,10221
U600427,12,42,96,Airbus A320-200,10221
U834962,12,42,96,Airbus A320-200,10221
E284105,12,42,96,Airbus A320-200,10221
S803753,12,42,96,Airbus A320-200,10221
C520637,12,42,96,Airbus A320-200,10221
W740306,12,42,96,Airbus A320-200,10221
H900365,12,42,96,Airbus A320-200,10221
L193425,12,42,96,Airbus A320-200,10221
A686209,12,42,96,Airbus A320-200,10221
D132433,12,42,96,Airbus A320-200,10221
P902617,12,42,96,Airbus A320-200,10221
W746069,12,42,96,Airbus A320-200,10221
I833179,12,42,96,Airbus A320-200,10221
B61395,12,42,96,Airbus A320-200,10221
B391177,12,42,96,Airbus A320-200,10221
U460226,12,42,96,Airbus A320-200,10221
B327476,12,42,96,Airbus A320-200,10221
W9661,12,42,96,Airbus A320-200,10221
Z320524,12,42,96,Airbus A320-200,10221
L508277,12,42,96,Airbus A320-200,10221
A958536,12,42,96,Airbus A320-200,10221
I435030,12,42,96,Airbus A320-200,10221
D774950,12,42,96,Airbus A320-200,10221
M606257,12,42,96,Airbus A320-200,10221
K36874,12,42,96,Airbus A320-200,10221
R988076,12,42,96,Airbus A320-200,10221
I111330,12,42,96,Airbus A320-200,10221
Z840433,12,42,96,Airbus A320-200,10221
K17033,16,15,156,Airbus A321-200,10221
A337956,16,15,156,Airbus A321-200,10221
L396637,16,15,156,Airbus A321-200,10221
I935436,16,15,156,Airbus A321-200,10221
L769287,16,15,156,Airbus A321-200,10221
Y24693,16,15,156,Airbus A321-200,10221
K795345,16,15,156,Airbus A321-200,10221
F795998,16,15,156,Airbus A321-200,10221
B204557,16,15,156,Airbus A321-200,10221
W225295,16,15,156,Airbus A321-200,10221
D910225,16,15,156,Airbus A321-200,10221
S784443,16,15,156,Airbus A321-200,10221
R402542,16,15,156,Airbus A321-200,10221
I197350,16,15,156,Airbus A321-200,10221
W911886,16,15,156,Airbus A321-200,10221
W558379,16,15,156,Airbus A321-200,10221
T929048,16,15,156,Airbus A321-200,10221
S335510,16,15,156,Airbus A321-200,10221
Z231952,16,15,156,Airbus A321-200,10221
S443987,16,15,156,Airbus A321-200,10221
S106599,16,15,156,Airbus A321-200,10221
L473990,16,15,156,Airbus A321-200,10221
R562863,16,15,156,Airbus A321-200,10221
T747347,16,15,156,Airbus A321-200,10221
Q246495,16,15,156,Airbus A321-200,10221
R841757,16,15,156,Airbus A321-200,10221
E705080,16,15,156,Airbus A321-200,10221
W143494,16,15,156,Airbus A321-200,10221
J531727,16,15,156,Airbus A321-200,10221
V912179,16,15,156,Airbus A321-200,10221
S644446,16,15,156,Airbus A321-200,10221
E244468,16,15,156,Airbus A321-200,10221
W374911,16,15,156,Airbus A321-200,10221
R434902,16,15,156,Airbus A321-200,10221
A472165,16,15,156,Airbus A321-200,10221
O87429,16,15,156,Airbus A321-200,10221
S854612,16,15,156,Airbus A321-200,10221
R206641,16,15,156,Airbus A321-200,10221
T951276,16,15,156,Airbus A321-200,10221
V709933,16,15,156,Airbus A321-200,10221
M776963,16,15,156,Airbus A321-200,10221
F146705,16,15,156,Airbus A321-200,10221
X630338,16,15,156,Airbus A321-200,10221
G298270,16,15,156,Airbus A321-200,10221
K275763,16,15,156,Airbus A321-200,10221
Q257085,16,15,156,Airbus A321-200,10221
R739490,16,15,156,Airbus A321-200,10221
L123946,16,15,156,Airbus A321-200,10221
L604557,16,15,156,Airbus A321-200,10221
M978180,16,15,156,Airbus A321-200,10221
V942312,16,15,156,Airbus A321-200,10221
I7068,16,15,156,Airbus A321-200,10221
O697076,16,15,156,Airbus A321-200,10221
Q64856,16,15,156,Airbus A321-200,10221
S387233,16,15,156,Airbus A321-200,10221
T470150,16,15,156,Airbus A321-200,10221
M874430,16,15,156,Airbus A321-200,10221
H115059,16,15,156,Airbus A321-200,10221
W262624,16,15,156,Airbus A321-200,10221
U60408,16,15,156,Airbus A321-200,10221
D63562,16,15,156,Airbus A321-200,10221
V913858,16,15,156,Airbus A321-200,10221
A125800,16,15,156,Airbus A321-200,10221
O2344,16,15,156,Airbus A321LR,10221
J27811,16,15,156,Airbus A321LR,10221
V939562,16,15,156,Airbus A321LR,10221
K232566,16,15,156,Airbus A321neo,10221
R503481,16,15,156,Airbus A321neo,10221
D381156,16,15,156,Airbus A321neo,10221
X942894,16,15,156,Airbus A321neo,10221
R900660,16,15,156,Airbus A321neo,10221
E475380,16,15,156,Airbus A321neo,10221
N594315,16,15,156,Airbus A321neo,10221
Z222274,16,15,156,Airbus A321neo,10221
R941180,16,15,156,Airbus A321neo,10221
P383906,16,15,156,Airbus A321neo,10221
S258784,16,15,156,Airbus A321neo,10221
Q675202,16,15,156,Airbus A321neo,10221
W550254,16,15,156,Airbus A321neo,10221
F462983,16,15,156,Airbus A321neo,10221
B227496,16,15,156,Airbus A321neo,10221
K565882,16,15,156,Airbus A321neo,10221
F528045,16,15,156,Airbus A321neo,10221
W702935,16,15,156,Airbus A321neo,10221
S970337,0,18,100,Embraer 190,10221
I419290,0,18,100,Embraer 190,10221
J471266,0,18,100,Embraer 190,10221
Q364207,0,18,100,Embraer 190,10221
Z600745,0,18,100,Embraer 190,10221
O435207,0,18,100,Embraer 190,10221
N589259,0,18,100,Embraer 190,10221
J389617,0,18,100,Embraer 190,10221
Q739946,0,18,100,Embraer 190,10221
Q572349,0,18,100,Embraer 190,10221
H645908,0,18,100,Embraer 190,10221
X1717,0,18,100,Embraer 190,10221
D194304,0,18,100,Embraer 190,10221
V805438,0,18,100,Embraer 190,10221
G773606,0,18,100,Embraer 190,10221
M399780,0,18,100,Embraer 190,10221
Z547314,0,18,100,Embraer 190,10221
R987998,0,18,100,Embraer 190,10221
J839206,0,18,100,Embraer 190,10221
D2748,0,18,100,Embraer 190,10221
L592956,0,18,100,Embraer 190,10221
G48681,0,18,100,Embraer 190,10221
H586874,0,18,100,Embraer 190,10221
M84692,0,18,100,Embraer 190,10221
A210197,0,18,100,Embraer 190,10221
D953685,0,18,100,Embraer 190,10221
J744840,0,18,100,Embraer 190,10221
X541596,0,18,100,Embraer 190,10221
Z185526,0,18,100,Embraer 190,10221
Z417081,0,18,100,Embraer 190,10221
X41793,0,18,100,Embraer 190,10221
O529798,0,18,100,Embraer 190,10221
G718349,0,18,100,Embraer 190,10221
X117186,0,18,100,Embraer 190,10221
W56393,0,18,100,Embraer 190,10221
W798912,0,18,100,Embraer 190,10221
W774091,0,18,100,Embraer 190,10221
N634515,0,18,100,Embraer 190,10221
W45831,0,18,100,Embraer 190,10221
B202225,0,18,100,Embraer 190,10221
Y51822,0,18,100,Embraer 190,10221
O722182,0,18,100,Embraer 190,10221
B749182,0,18,100,Embraer 190,10221
O47096,0,18,100,Embraer 190,10221
I741848,0,18,100,Embraer 190,10221
W513097,0,18,100,Embraer 190,10221
R390788,0,18,100,Embraer 190,10221
P981285,0,18,100,Embraer 190,10221
Z598699,0,18,100,Embraer 190,10221
T751549,0,18,100,Embraer 190,10221
O96384,0,18,100,Embraer 190,10221
Z466764,0,18,100,Embraer 190,10221
Q605080,0,18,100,Embraer 190,10221
Y34579,0,18,100,Embraer 190,10221
L842329,0,18,100,Embraer 190,10221
G99499,0,18,100,Embraer 190,10221
G106374,0,18,100,Embraer 190,10221
U57018,0,18,100,Embraer 190,10221
S823598,0,18,100,Embraer 190,10221
V283412,0,18,100,Embraer 190,10221
E430835,12,42,96,Airbus A320-200,1191
J170312,12,42,96,Airbus A320-200,1191
U590609,12,42,96,Airbus A320-200,1191
W403369,12,42,96,Airbus A320-200,1191
S927913,12,42,96,Airbus A320-200,1191
O223814,12,42,96,Airbus A320-200,1191
P509944,12,42,96,Airbus A320-200,1191
G798199,12,42,96,Airbus A320-200,1191
I859371,12,42,96,Airbus A320-200,1191
T130081,12,42,96,Airbus A320-200,1191
C91849,12,42,96,Airbus A320-200,1191
P983810,12,42,96,Airbus A320-200,1191
D829855,12,42,96,Airbus A320-200,1191
P286330,12,42,96,Airbus A320-200,1191
J873818,12,42,96,Airbus A320-200,1191
H182501,12,42,96,Airbus A320-200,1191
P90546,12,42,96,Airbus A320-200,1191
Y705345,12,42,96,Airbus A320-200,1191
G462718,12,42,96,Airbus A320-200,1191
E348969,12,42,96,Airbus A320-200,1191
W910735,12,42,96,Airbus A320-200,1191
H744168,12,42,96,Airbus A320-200,1191
V647565,12,42,96,Airbus A320-200,1191
V444417,12,42,96,Airbus A320-200,1191
Z443147,12,42,96,Airbus A320-200,1191
Y388913,12,42,96,Airbus A320-200,1191
V698119,12,42,96,Airbus A320-200,1191
V995863,12,42,96,Airbus A320-200,1191
T44528,12,42,96,Airbus A320-200,1191
Z692433,12,42,96,Airbus A320-200,1191
E340483,12,42,96,Airbus A320-200,1191
E354443,12,42,96,Airbus A320-200,1191
S617945,12,42,96,Airbus A320-200,1191
L494893,12,42,96,Airbus A320-200,1191
S497818,12,42,96,Airbus A320-200,1191
K971189,16,15,156,Airbus A321neo,1191
N105493,16,15,156,Airbus A321neo,1191
Y705614,16,15,156,Airbus A321neo,1191
Z360045,16,15,156,Airbus A321neo,1191
H744887,16,15,156,Airbus A321neo,1191
Y69603,16,15,156,Airbus A321neo,1191
W266459,16,15,156,Airbus A321neo,1191
H663584,16,15,156,Airbus A321neo,1191
D289328,16,15,156,Airbus A321neo,1191
M369486,16,15,156,Airbus A321neo,1191
T103198,16,24,138,Boeing 737-800,1191
F877340,16,24,138,Boeing 737-800,1191
A14380,16,24,138,Boeing 737-800,1191
F964008,16,24,138,Boeing 737-800,1191
H385838,16,24,138,Boeing 737-800,1191
P792652,16,24,138,Boeing 737-800,1191
Z838299,16,24,138,Boeing 737-800,1191
G904939,16,24,138,Boeing 737-800,1191
G635945,16,24,138,Boeing 737-800,1191
L594937,16,24,138,Boeing 737-800,1191
J935153,16,24,138,Boeing 737-800,1191
U717860,16,24,138,Boeing 737-800,1191
S31624,16,24,138,Boeing 737-800,1191
N746879,16,24,138,Boeing 737-800,1191
D896903,16,24,138,Boeing 737-800,1191
H880397,16,24,138,Boeing 737-800,1191
X437755,16,24,138,Boeing 737-800,1191
C811046,16,24,138,Boeing 737-800,1191
Q134515,16,24,138,Boeing 737-800,1191
D840751,16,24,138,Boeing 737-800,1191
J946944,16,24,138,Boeing 737-800,1191
R549979,16,24,138,Boeing 737-800,1191
L623064,16,24,138,Boeing 737-800,1191
T722445,16,24,138,Boeing 737-800,1191
T756292,16,24,138,Boeing 737-800,1191
K966778,16,24,138,Boeing 737-800,1191
Z300973,16,24,138,Boeing 737-800,1191
N745477,16,24,138,Boeing 737-800,1191
D191910,16,24,138,Boeing 737-800,1191
M472594,16,24,138,Boeing 737-800,1191
S119394,16,24,138,Boeing 737-800,1191
T162133,16,24,138,Boeing 737-800,1191
A821295,16,24,138,Boeing 737-800,1191
N688391,16,24,138,Boeing 737-800,1191
C929560,16,24,138,Boeing 737-800,1191
U749116,16,24,138,Boeing 737-800,1191
C572602,16,24,138,Boeing 737-800,1191
X735088,16,24,138,Boeing 737-800,1191
U325130,16,24,138,Boeing 737-800,1191
W724896,16,24,138,Boeing 737-800,1191
A913836,16,24,138,Boeing 737-800,1191
U627651,16,24,138,Boeing 737-800,1191
P304918,16,24,138,Boeing 737-800,1191
W662371,16,24,138,Boeing 737-800,1191
P771631,16,24,138,Boeing 737-800,1191
T922488,16,24,138,Boeing 737-800,1191
S22365,16,24,138,Boeing 737-800,1191
E571373,16,24,138,Boeing 737-800,1191
D952445,16,24,138,Boeing 737-800,1191
O253109,16,24,138,Boeing 737-800,1191
N21023,16,24,138,Boeing 737-800,1191
M482566,16,24,138,Boeing 737-800,1191
P692775,16,24,138,Boeing 737-800,1191
N105419,16,24,138,Boeing 737-800,1191
T17292,16,24,138,Boeing 737-800,1191
U750058,16,24,138,Boeing 737-800,1191
Y407996,16,24,138,Boeing 737-800,1191
X72386,16,24,138,Boeing 737-800,1191
V305928,16,24,138,Boeing 737-800,1191
J783069,16,24,138,Boeing 737-800,1191
E140615,16,24,138,Boeing 737-800,1191
Q824677,16,24,138,Boeing 737-700,1191
Y642582,16,24,138,Boeing 737-700,1191
W118591,16,24,138,Boeing 737-700,1191
S949498,16,24,138,Boeing 737-700,1191
X258444,16,24,138,Boeing 737-700,1191
R491039,16,24,138,Boeing 737-700,1191
B580487,16,24,138,Boeing 737-700,1191
Z358968,16,24,138,Boeing 737-700,1191
T284052,16,24,138,Boeing 737-700,1191
I240795,16,24,138,Boeing 737-700,1191
I520101,16,24,138,Boeing 737-700,1191
P622577,16,24,138,Boeing 737-900,1191
Q311760,16,24,138,Boeing 737-900,1191
Y208817,16,24,138,Boeing 737-900,1191
P583251,16,24,138,Boeing 737-900,1191
M525486,16,24,138,Boeing 737-900,1191
D739862,16,24,138,Boeing 737-900,1191
Q928306,16,24,138,Boeing 737-900,1191
V522053,16,24,138,Boeing 737-900,1191
X609021,16,24,138,Boeing 737-900,1191
K57426,16,24,138,Boeing 737-900,1191
B612376,16,24,138,Boeing 737-900,1191
O65256,16,24,138,Boeing 737-900,1191
E307872,16,24,138,Boeing 737-900ER,1191
W677873,16,24,138,Boeing 737-900ER,1191
C237385,16,24,138,Boeing 737-900ER,1191
L114502,16,24,138,Boeing 737-900ER,1191
W114381,16,24,138,Boeing 737-900ER,1191
C397163,16,24,138,Boeing 737-900ER,1191
J463400,16,24,138,Boeing 737-900ER,1191
O129178,16,24,138,Boeing 737-900ER,1191
E98749,16,24,138,Boeing 737-900ER,1191
M866414,16,24,138,Boeing 737-900ER,1191
F121659,16,24,138,Boeing 737-900ER,1191
M648975,16,24,138,Boeing 737-900ER,1191
K934707,16,24,138,Boeing 737-900ER,1191
Q916963,16,24,138,Boeing 737-900ER,1191
I306336,16,24,138,Boeing 737-900ER,1191
C544398,16,24,138,Boeing 737-900ER,1191
M615008,16,24,138,Boeing 737-900ER,1191
T344494,16,24,138,Boeing 737-900ER,1191
J176983,16,24,138,Boeing 737-900ER,1191
V782707,16,24,138,Boeing 737-900ER,1191
L784558,16,24,138,Boeing 737-900ER,1191
H848665,16,24,138,Boeing 737-900ER,1191
F870677,16,24,138,Boeing 737-900ER,1191
W768942,16,24,138,Boeing 737-900ER,1191
F891716,16,24,138,Boeing 737-900ER,1191
C15513,16,24,138,Boeing 737-900ER,1191
K746869,16,24,138,Boeing 737-900ER,1191
Q570235,16,24,138,Boeing 737-900ER,1191
J164891,16,24,138,Boeing 737-900ER,1191
S294108,16,24,138,Boeing 737-900ER,1191
M708938,16,24,138,Boeing 737-900ER,1191
N266638,16,24,138,Boeing 737-900ER,1191
R894877,16,24,138,Boeing 737-900ER,1191
P954347,16,24,138,Boeing 737-900ER,1191
U80613,16,24,138,Boeing 737-900ER,1191
J392963,16,24,138,Boeing 737-900ER,1191
H900659,16,24,138,Boeing 737-900ER,1191
W656334,16,24,138,Boeing 737-900ER,1191
X166136,16,24,138,Boeing 737-900ER,1191
Y897278,16,24,138,Boeing 737-900ER,1191
S867047,16,24,138,Boeing 737-900ER,1191
H418734,16,24,138,Boeing 737-900ER,1191
Q599989,16,24,138,Boeing 737-900ER,1191
T63352,16,24,138,Boeing 737-900ER,1191
P239552,16,24,138,Boeing 737-900ER,1191
A36966,16,24,138,Boeing 737-900ER,1191
C359129,16,24,138,Boeing 737-900ER,1191
M44179,16,24,138,Boeing 737-900ER,1191
J126415,16,24,138,Boeing 737-900ER,1191
T582707,16,24,138,Boeing 737-900ER,1191
V350068,16,24,138,Boeing 737-900ER,1191
J238460,16,24,138,Boeing 737-900ER,1191
P353523,16,24,138,Boeing 737-900ER,1191
H313277,16,24,138,Boeing 737-900ER,1191
Y640872,16,24,138,Boeing 737-900ER,1191
E410248,16,24,138,Boeing 737-900ER,1191
C980444,16,24,138,Boeing 737-900ER,1191
