iata_code,airport_name,country,weather,airport_status
PSP,Palm Springs International Airport,US,Rainy,Busy
PTK,Oakland County International Airport,US,Cloudy,Small-Scale Delay
PVU,Provo-Utah Lake International Airport,US,Snowy,Large-Scale Delay
PWM,Portland International Jetport,US,Partly Cloudy,Free
RDU,Raleigh Durham International Airport,US,Foggy,Large-Scale Delay
RFD,Chicago Rockford International Airport,US,Cloudy,Normal
RIC,Richmond International Airport,US,Mostly Sunny,Large-Scale Delay
RME,Griffiss International Airport,US,Cloudy,Normal
RNO,Reno Tahoe International Airport,US,Heavy Snowy,Normal
ROC,Frederick Douglass Greater Rochester International Airport,US,Mostly Sunny,Normal
RST,Rochester International Airport,US,Heavy Snowy,Small-Scale Delay
RSW,Southwest Florida International Airport,US,Foggy,Normal
SAN,San Diego International Airport,US,Sunny,Busy
SAT,San Antonio International Airport,US,Cloudy,Large-Scale Delay
SAV,Savannah Hilton Head International Airport,US,Heavy Rainy,Large-Scale Delay
MQT,Sawyer International Airport,US,Heavy Rainy,Free
SBD,San Bernardino International Airport,US,Mostly Sunny,Free
SDF,Louisville Muhammad Ali International Airport,US,Foggy,Normal
SEA,Seattle Tacoma International Airport,US,Sunny,Normal
SFB,Orlando Sanford International Airport,US,Heavy Rainy,Large-Scale Delay
SFO,San Francisco International Airport,US,Snowy,Normal
SJC,Norman Y. Mineta San Jose International Airport,US,Frost,Normal
SLC,Salt Lake City International Airport,US,Cloudy,Large-Scale Delay
SMF,Sacramento International Airport,US,Cloudy,Normal
SRQ,Sarasota Bradenton International Airport,US,Partly Cloudy,Small-Scale Delay
STL,St Louis Lambert International Airport,US,Heavy Rainy,Busy
SWF,New York Stewart International Airport,US,Heavy Rainy,Small-Scale Delay
SYR,Syracuse Hancock International Airport,US,Heavy Snowy,Small-Scale Delay
TPA,Tampa International Airport,US,Mostly Sunny,Busy
TUL,Tulsa International Airport,US,Cloudy,Small-Scale Delay
TUS,Tucson International Airport / Morris Air National Guard Base,US,Mostly Sunny,Normal
UTH,South Valley International Airport,US,Heavy Snowy,Free
VGT,North Las Vegas Metropolitan International Airport,US,Heavy Rainy,Free
VIS,Visalia International Airport,US,Cloudy,Free
FAI,Fairbanks International Airport,US,Snowy,Normal
JNU,Juneau International Airport,US,Snowy,Large-Scale Delay
KTN,Ketchikan International Airport,US,Frost,Large-Scale Delay
ANC,Ted Stevens Anchorage International Airport,US,Heavy Snowy,Free
KOA,Ellison Onizuka Kona International Airport at Keahole,US,Rainy,Normal
HNL,Daniel K Inouye International Airport,US,Rainy,Free
ITO,Hilo International Airport,US,Frost,Busy
XWA,Williston Basin International Airport,US,Heavy Snowy,Small-Scale Delay
AFW,Fort Worth Alliance Airport,US,Foggy,Free
