"schedule_id","dept_date","dept_time","ariv_date","ariv_time"
11154,2022-10-29,"9:50:00",2022-10-29,"12:40:00"
37593,2019-07-20,"9:30:00",2019-07-20,"13:20:00"
31471,2022-10-29,"9:0:00",2022-10-29,"12:55:00"
29347,2019-12-03,"9:40:00",2019-12-03,"14:50:00"
33398,2021-01-25,"11:55:00",2021-01-25,"13:15:00"
30002,2019-09-15,"10:0:00",2019-09-15,"14:5:00"
37268,2019-08-09,"9:30:00",2019-08-09,"14:10:00"
93259,2020-03-07,"21:15:00",2020-03-08,"9:10:00"
76064,2019-05-06,"20:35:00",2019-05-07,"8:30:00"
22927,2022-08-11,"10:45:00",2022-08-11,"12:15:00"
11095,2019-04-02,"11:55:00",2019-04-02,"13:0:00"
82939,2019-08-02,"23:45:00",2019-08-03,"7:40:00"
84739,2020-11-28,"23:50:00",2020-11-29,"9:5:00"
24054,2021-04-25,"11:5:00",2021-04-25,"13:10:00"
20680,2022-10-27,"9:20:00",2022-10-27,"14:25:00"
71034,2021-12-04,"22:50:00",2021-12-05,"9:40:00"
23044,2019-07-11,"11:35:00",2019-07-11,"12:45:00"
76832,2022-04-15,"21:45:00",2022-04-16,"7:55:00"
18748,2021-08-03,"10:5:00",2021-08-03,"14:35:00"
36150,2019-12-03,"11:25:00",2019-12-03,"13:0:00"
70783,2021-07-19,"19:25:00",2021-07-20,"7:0:00"
80647,2019-11-17,"21:30:00",2019-11-18,"8:45:00"
98255,2021-02-12,"19:40:00",2021-02-13,"9:50:00"
32061,2021-02-27,"10:40:00",2021-02-27,"14:45:00"
18809,2020-01-05,"10:0:00",2020-01-05,"14:0:00"
82409,2020-02-20,"20:55:00",2020-02-21,"8:40:00"
32732,2022-03-12,"11:45:00",2022-03-12,"13:45:00"
15983,2021-01-23,"9:55:00",2021-01-23,"13:10:00"
96396,2019-11-19,"22:30:00",2019-11-20,"7:5:00"
29754,2019-05-17,"11:55:00",2019-05-17,"14:40:00"
94797,2021-03-03,"21:5:00",2021-03-04,"7:25:00"
28837,2019-05-24,"10:50:00",2019-05-24,"14:5:00"
75587,2019-12-05,"21:5:00",2019-12-06,"7:30:00"
20109,2020-12-28,"11:10:00",2020-12-28,"12:0:00"
37589,2020-10-31,"11:10:00",2020-10-31,"14:0:00"
98781,2022-08-18,"19:50:00",2022-08-19,"9:5:00"
14299,2019-01-10,"9:25:00",2019-01-10,"12:40:00"
18991,2022-11-20,"11:20:00",2022-11-20,"14:20:00"
10766,2020-01-22,"9:5:00",2020-01-22,"13:20:00"
22742,2020-10-31,"11:25:00",2020-10-31,"13:30:00"
12954,2022-07-03,"10:40:00",2022-07-03,"12:30:00"
26113,2022-09-18,"10:5:00",2022-09-18,"13:30:00"
70375,2019-04-24,"21:10:00",2019-04-25,"8:20:00"
19625,2021-05-05,"11:15:00",2021-05-05,"12:25:00"
36247,2019-07-23,"9:5:00",2019-07-23,"12:30:00"
39117,2019-03-09,"10:20:00",2019-03-09,"12:40:00"
30672,2019-09-02,"10:55:00",2019-09-02,"14:40:00"
83986,2020-06-06,"20:10:00",2020-06-07,"8:15:00"
99728,2020-10-18,"23:20:00",2020-10-19,"7:35:00"
14964,2022-07-09,"11:55:00",2022-07-09,"12:25:00"
77143,2020-10-25,"21:20:00",2020-10-26,"8:20:00"
17329,2022-09-13,"11:0:00",2022-09-13,"13:55:00"
30273,2020-04-25,"11:10:00",2020-04-25,"14:30:00"
87533,2020-07-09,"21:45:00",2020-07-10,"7:55:00"
32600,2019-07-14,"11:25:00",2019-07-14,"12:15:00"
37083,2022-12-21,"9:40:00",2022-12-21,"13:20:00"
85401,2020-01-06,"23:35:00",2020-01-07,"8:30:00"
24574,2019-01-15,"11:45:00",2019-01-15,"14:30:00"
73023,2020-02-20,"22:0:00",2020-02-21,"8:45:00"
17461,2020-07-06,"11:55:00",2020-07-06,"13:15:00"
38058,2022-06-28,"11:5:00",2022-06-28,"13:40:00"
28110,2022-12-02,"10:15:00",2022-12-02,"14:20:00"
12991,2021-06-14,"10:5:00",2021-06-14,"13:5:00"
22490,2020-08-02,"9:50:00",2020-08-02,"13:50:00"
92654,2020-04-04,"19:45:00",2020-04-05,"8:10:00"
16032,2021-04-07,"11:50:00",2021-04-07,"13:10:00"
21231,2021-12-24,"10:50:00",2021-12-24,"13:45:00"
73234,2022-11-02,"20:20:00",2022-11-03,"7:15:00"
10656,2019-01-07,"9:40:00",2019-01-07,"14:30:00"
25841,2019-10-05,"9:30:00",2019-10-05,"14:55:00"
18665,2019-02-15,"11:20:00",2019-02-15,"14:5:00"
18706,2022-12-07,"9:10:00",2022-12-07,"14:15:00"
34149,2021-05-08,"11:40:00",2021-05-08,"13:15:00"
98422,2019-12-13,"21:50:00",2019-12-14,"7:0:00"
29050,2019-10-16,"10:20:00",2019-10-16,"13:55:00"
97562,2020-02-07,"23:30:00",2020-02-08,"7:30:00"
78766,2019-08-17,"20:30:00",2019-08-18,"7:5:00"
95111,2021-01-16,"22:45:00",2021-01-17,"9:10:00"
27684,2021-08-11,"10:25:00",2021-08-11,"12:50:00"
86660,2022-08-06,"20:35:00",2022-08-07,"9:15:00"
89778,2019-03-22,"19:30:00",2019-03-23,"8:35:00"
78527,2020-04-21,"20:40:00",2020-04-22,"7:15:00"
31524,2021-02-18,"11:0:00",2021-02-18,"12:25:00"
29292,2021-07-13,"11:40:00",2021-07-13,"12:30:00"
35334,2020-05-23,"11:55:00",2020-05-23,"12:50:00"
35119,2021-01-20,"11:5:00",2021-01-20,"13:15:00"
15228,2022-08-29,"11:0:00",2022-08-29,"14:5:00"
73895,2019-09-03,"20:20:00",2019-09-04,"9:5:00"
30582,2020-09-19,"10:15:00",2020-09-19,"12:55:00"
78138,2019-08-29,"23:5:00",2019-08-30,"7:45:00"
16621,2019-04-25,"10:25:00",2019-04-25,"12:20:00"
17361,2021-01-19,"10:30:00",2021-01-19,"13:10:00"
95913,2020-02-25,"20:10:00",2020-02-26,"9:45:00"
10346,2019-01-25,"10:55:00",2019-01-25,"12:10:00"
81542,2021-03-18,"20:50:00",2021-03-19,"7:10:00"
11910,2022-12-22,"11:10:00",2022-12-22,"12:55:00"
33881,2020-05-12,"10:25:00",2020-05-12,"14:40:00"
23657,2019-12-03,"11:45:00",2019-12-03,"13:30:00"
96963,2021-11-16,"20:5:00",2021-11-17,"8:50:00"
79484,2019-07-05,"22:50:00",2019-07-06,"7:15:00"
25582,2021-07-25,"9:10:00",2021-07-25,"13:10:00"
82151,2021-07-18,"21:40:00",2021-07-19,"9:45:00"
28805,2019-08-14,"11:50:00",2019-08-14,"12:20:00"
95549,2019-02-13,"22:15:00",2019-02-14,"8:10:00"
70588,2020-10-29,"19:10:00",2020-10-30,"8:50:00"
25136,2021-04-04,"10:10:00",2021-04-04,"13:10:00"
39043,2021-10-17,"11:30:00",2021-10-17,"13:15:00"
23539,2022-08-09,"9:25:00",2022-08-09,"13:40:00"
29223,2022-05-12,"10:0:00",2022-05-12,"13:40:00"
24399,2021-07-28,"11:10:00",2021-07-28,"14:35:00"
15050,2022-07-20,"11:10:00",2022-07-20,"14:15:00"
22607,2019-12-24,"11:5:00",2019-12-24,"13:25:00"
36289,2022-03-15,"9:0:00",2022-03-15,"13:35:00"
31835,2019-02-18,"9:0:00",2019-02-18,"14:55:00"
76541,2019-11-28,"19:45:00",2019-11-29,"9:40:00"
16145,2019-12-03,"9:20:00",2019-12-03,"14:10:00"
15035,2022-06-22,"11:30:00",2022-06-22,"13:55:00"
22125,2022-11-04,"11:45:00",2022-11-04,"13:50:00"
13381,2020-05-01,"11:25:00",2020-05-01,"12:45:00"
24003,2021-12-20,"10:5:00",2021-12-20,"12:20:00"
91733,2021-09-08,"20:25:00",2021-09-09,"8:35:00"
32992,2020-06-05,"11:45:00",2020-06-05,"12:25:00"
30729,2019-08-01,"11:55:00",2019-08-01,"13:20:00"
24776,2020-10-08,"9:55:00",2020-10-08,"12:30:00"
89916,2022-07-02,"19:35:00",2022-07-03,"7:15:00"
74685,2022-01-08,"23:40:00",2022-01-09,"9:50:00"
21780,2020-07-21,"9:30:00",2020-07-21,"13:30:00"
77346,2021-01-08,"21:5:00",2021-01-09,"8:15:00"
18338,2022-06-05,"11:35:00",2022-06-05,"14:50:00"
88318,2020-09-21,"23:5:00",2020-09-22,"7:15:00"
36591,2020-01-31,"9:25:00",2020-01-31,"13:15:00"
24549,2019-04-09,"9:55:00",2019-04-09,"12:20:00"
27249,2019-09-16,"11:55:00",2019-09-16,"12:0:00"
77084,2020-03-08,"19:45:00",2020-03-09,"9:15:00"
16110,2021-07-23,"10:10:00",2021-07-23,"13:50:00"
78462,2022-04-13,"22:40:00",2022-04-14,"7:35:00"
29268,2021-06-02,"9:20:00",2021-06-02,"14:30:00"
23019,2019-09-20,"9:55:00",2019-09-20,"12:30:00"
32691,2021-09-07,"9:20:00",2021-09-07,"12:15:00"
25275,2022-08-21,"10:55:00",2022-08-21,"13:50:00"
78395,2022-12-15,"21:15:00",2022-12-16,"7:35:00"
92147,2020-11-09,"23:5:00",2020-11-10,"7:40:00"
38012,2020-08-04,"11:35:00",2020-08-04,"12:30:00"
82699,2020-12-25,"19:30:00",2020-12-26,"7:10:00"
30459,2022-09-10,"11:40:00",2022-09-10,"12:30:00"
99731,2022-09-18,"23:0:00",2022-09-19,"8:20:00"
10475,2022-12-13,"10:45:00",2022-12-13,"14:5:00"
19682,2021-08-27,"9:55:00",2021-08-27,"13:55:00"
79216,2020-07-26,"19:55:00",2020-07-27,"9:45:00"
31976,2022-05-10,"10:0:00",2022-05-10,"12:30:00"
22783,2021-10-03,"11:15:00",2021-10-03,"12:50:00"
37553,2021-01-04,"11:25:00",2021-01-04,"12:30:00"
93257,2020-09-27,"23:10:00",2020-09-28,"8:5:00"
19079,2022-10-07,"11:40:00",2022-10-07,"13:25:00"
92588,2019-12-24,"23:50:00",2019-12-25,"9:50:00"
30274,2020-03-05,"11:50:00",2020-03-05,"14:5:00"
26556,2022-08-09,"11:50:00",2022-08-09,"14:50:00"
29811,2022-10-16,"9:50:00",2022-10-16,"13:5:00"
90320,2021-11-22,"23:55:00",2021-11-23,"8:15:00"
29619,2019-05-27,"10:0:00",2019-05-27,"12:50:00"
78532,2022-03-02,"23:55:00",2022-03-03,"7:15:00"
36382,2020-01-20,"11:25:00",2020-01-20,"12:30:00"
20369,2022-09-18,"11:25:00",2022-09-18,"12:20:00"
20387,2020-05-27,"9:45:00",2020-05-27,"13:0:00"
13375,2019-04-05,"11:50:00",2019-04-05,"13:30:00"
27966,2022-12-06,"11:0:00",2022-12-06,"14:25:00"
16680,2021-08-15,"9:15:00",2021-08-15,"14:20:00"
34682,2022-12-04,"10:50:00",2022-12-04,"13:50:00"
23852,2021-08-23,"10:35:00",2021-08-23,"13:50:00"
22718,2021-10-29,"9:50:00",2021-10-29,"12:10:00"
32439,2020-10-17,"11:0:00",2020-10-17,"14:0:00"
36397,2021-03-04,"9:10:00",2021-03-04,"14:45:00"
76154,2021-11-23,"23:20:00",2021-11-24,"7:5:00"
99927,2020-01-01,"19:45:00",2020-01-02,"7:20:00"
31462,2019-08-22,"9:25:00",2019-08-22,"13:30:00"
15738,2020-08-05,"9:30:00",2020-08-05,"13:5:00"
15392,2022-06-26,"10:35:00",2022-06-26,"14:40:00"
85453,2022-08-07,"19:0:00",2022-08-08,"9:55:00"
32076,2019-05-10,"10:15:00",2019-05-10,"14:10:00"
14470,2021-10-26,"11:45:00",2021-10-26,"13:45:00"
82785,2020-12-29,"19:30:00",2020-12-30,"7:30:00"
87818,2019-01-16,"19:15:00",2019-01-17,"8:25:00"
35876,2019-10-02,"10:50:00",2019-10-02,"13:55:00"
91818,2020-05-07,"21:30:00",2020-05-08,"9:25:00"
75107,2020-04-29,"22:20:00",2020-04-30,"7:55:00"
19402,2019-12-07,"10:55:00",2019-12-07,"14:40:00"
93264,2021-10-04,"21:40:00",2021-10-05,"9:20:00"
10536,2020-03-02,"10:35:00",2020-03-02,"13:5:00"
18640,2021-02-15,"9:20:00",2021-02-15,"12:35:00"
70971,2022-11-17,"21:30:00",2022-11-18,"7:35:00"
15139,2021-08-26,"10:50:00",2021-08-26,"12:50:00"
34793,2020-07-19,"11:20:00",2020-07-19,"14:10:00"
34444,2021-06-05,"10:0:00",2021-06-05,"14:55:00"
94979,2020-08-27,"23:55:00",2020-08-28,"7:10:00"
24174,2021-02-11,"10:25:00",2021-02-11,"13:10:00"
71719,2019-02-08,"23:40:00",2019-02-09,"7:30:00"
94518,2021-05-27,"20:35:00",2021-05-28,"7:35:00"
29926,2021-10-18,"10:20:00",2021-10-18,"13:20:00"
10335,2022-05-26,"10:5:00",2022-05-26,"13:15:00"
35332,2020-04-27,"11:40:00",2020-04-27,"14:30:00"
29986,2020-06-04,"10:25:00",2020-06-04,"14:0:00"
29517,2019-05-08,"10:45:00",2019-05-08,"14:30:00"
92365,2020-05-15,"20:25:00",2020-05-16,"9:45:00"
23918,2022-10-03,"10:30:00",2022-10-03,"13:10:00"
98126,2020-11-28,"23:30:00",2020-11-29,"9:20:00"
73129,2021-01-25,"22:35:00",2021-01-26,"8:0:00"
28713,2021-06-27,"11:30:00",2021-06-27,"14:25:00"
13166,2019-05-20,"9:10:00",2019-05-20,"12:35:00"
83769,2022-05-07,"22:35:00",2022-05-08,"7:20:00"
22915,2021-05-26,"11:30:00",2021-05-26,"13:20:00"
72036,2022-01-26,"23:10:00",2022-01-27,"9:15:00"
99253,2019-10-24,"23:0:00",2019-10-25,"8:45:00"
19448,2021-01-25,"10:35:00",2021-01-25,"13:5:00"
39621,2021-10-24,"11:5:00",2021-10-24,"13:10:00"
11038,2022-10-17,"11:25:00",2022-10-17,"14:45:00"
88312,2022-01-20,"21:20:00",2022-01-21,"8:10:00"
20360,2021-11-24,"11:45:00",2021-11-24,"14:25:00"
39016,2021-03-01,"10:0:00",2021-03-01,"13:40:00"
24581,2019-03-28,"10:0:00",2019-03-28,"14:55:00"
28992,2022-04-04,"9:20:00",2022-04-04,"14:25:00"
22631,2019-10-24,"11:45:00",2019-10-24,"12:25:00"
26315,2022-05-15,"10:45:00",2022-05-15,"13:40:00"
81693,2019-11-20,"20:10:00",2019-11-21,"7:25:00"
21416,2021-01-05,"10:5:00",2021-01-05,"12:15:00"
11683,2022-06-08,"10:25:00",2022-06-08,"14:35:00"
13679,2022-07-02,"11:5:00",2022-07-02,"12:25:00"
17586,2022-07-23,"11:0:00",2022-07-23,"13:50:00"
15207,2019-01-03,"10:20:00",2019-01-03,"13:15:00"
93940,2021-08-17,"23:25:00",2021-08-18,"7:20:00"
16415,2020-05-18,"10:30:00",2020-05-18,"12:50:00"
72580,2020-02-13,"23:20:00",2020-02-14,"9:35:00"
35840,2022-01-29,"10:5:00",2022-01-29,"14:0:00"
19700,2019-10-05,"9:20:00",2019-10-05,"13:55:00"
24620,2020-02-13,"10:20:00",2020-02-13,"12:15:00"
10134,2020-05-13,"9:25:00",2020-05-13,"12:55:00"
72506,2020-09-26,"21:45:00",2020-09-27,"8:45:00"
18416,2019-01-09,"9:5:00",2019-01-09,"14:5:00"
90791,2022-10-12,"21:25:00",2022-10-13,"8:35:00"
23475,2021-11-11,"10:40:00",2021-11-11,"14:35:00"
77414,2020-01-19,"20:30:00",2020-01-20,"7:20:00"
98106,2020-09-08,"20:25:00",2020-09-09,"8:15:00"
71376,2021-06-20,"23:30:00",2021-06-21,"8:10:00"
70816,2020-06-11,"23:30:00",2020-06-12,"7:40:00"
21133,2021-04-16,"11:55:00",2021-04-16,"13:40:00"
33686,2021-06-13,"10:50:00",2021-06-13,"14:10:00"
94503,2019-11-02,"20:25:00",2019-11-03,"7:25:00"
33968,2020-04-03,"10:45:00",2020-04-03,"12:40:00"
26703,2021-05-27,"10:5:00",2021-05-27,"12:10:00"
26574,2019-12-18,"10:0:00",2019-12-18,"14:20:00"
13539,2022-03-04,"10:25:00",2022-03-04,"14:35:00"
11247,2021-02-14,"9:20:00",2021-02-14,"13:25:00"
18881,2022-06-11,"11:0:00",2022-06-11,"14:10:00"
30486,2020-07-07,"11:40:00",2020-07-07,"12:0:00"
16158,2020-11-12,"9:5:00",2020-11-12,"13:40:00"
98948,2022-06-14,"23:15:00",2022-06-15,"9:45:00"
25207,2022-03-27,"10:25:00",2022-03-27,"14:25:00"
98007,2019-09-09,"22:15:00",2019-09-10,"9:0:00"
19515,2021-01-16,"11:30:00",2021-01-16,"12:40:00"
87901,2021-07-16,"19:30:00",2021-07-17,"9:40:00"
77481,2022-04-27,"21:35:00",2022-04-28,"9:35:00"
28404,2021-06-07,"9:20:00",2021-06-07,"13:30:00"
90275,2020-12-31,"22:45:00",2021-01-01,"8:5:00"
22244,2022-04-25,"10:55:00",2022-04-25,"13:20:00"
76665,2021-10-05,"19:10:00",2021-10-06,"7:20:00"
94790,2021-02-24,"19:35:00",2021-02-25,"7:10:00"
78191,2020-11-12,"22:5:00",2020-11-13,"7:25:00"
29380,2019-01-23,"10:45:00",2019-01-23,"13:15:00"
82816,2020-03-03,"20:35:00",2020-03-04,"9:55:00"
30321,2021-09-30,"11:15:00",2021-09-30,"12:10:00"
14944,2020-12-17,"10:10:00",2020-12-17,"14:5:00"
38931,2019-07-09,"10:35:00",2019-07-09,"12:15:00"
12122,2021-11-09,"11:50:00",2021-11-09,"13:45:00"
38068,2022-02-08,"11:30:00",2022-02-08,"13:50:00"
37112,2022-03-19,"11:5:00",2022-03-19,"13:25:00"
19857,2021-08-18,"11:40:00",2021-08-18,"12:0:00"
36075,2022-04-30,"10:5:00",2022-04-30,"13:45:00"
77048,2019-05-21,"23:50:00",2019-05-22,"8:10:00"
87520,2022-08-09,"21:15:00",2022-08-10,"9:30:00"
36045,2020-05-26,"11:0:00",2020-05-26,"14:15:00"
10966,2019-03-29,"9:20:00",2019-03-29,"14:35:00"
98175,2020-10-13,"22:40:00",2020-10-14,"8:15:00"
31600,2022-08-06,"10:25:00",2022-08-06,"12:10:00"
28351,2020-01-28,"9:5:00",2020-01-28,"14:5:00"
72316,2020-09-18,"22:0:00",2020-09-19,"8:30:00"
27777,2020-03-01,"10:5:00",2020-03-01,"13:15:00"
22825,2022-07-13,"9:5:00",2022-07-13,"14:40:00"
24456,2020-02-26,"9:30:00",2020-02-26,"14:10:00"
29032,2020-08-04,"11:30:00",2020-08-04,"12:20:00"
37316,2021-03-05,"9:30:00",2021-03-05,"14:35:00"
14418,2021-11-14,"9:0:00",2021-11-14,"14:0:00"
23959,2019-06-02,"10:15:00",2019-06-02,"13:45:00"
