"ticket_id","seat_location","seat_class","luggage_no","regis_no","flight_no","traveler_id"
4982893826,"10D","Economic",3,"YV44871","TK177",4605044
5521060074,"10D","First",1,"BC62025","DL9266",8144069
7223179045,"10D","First",3,"D412459","MU8003",3071626
6852720206,"10D","First",2,"F149307","CZ382",5487582
8594078994,"10D","First",2,"FJ26430","AA8136",5862768
7923483969,"10D","First",2,"UA60452","Z7830",2753483
8388461746,"10D","First",2,"UN57507","CA248",9707513
5286237103,"10D","First",2,"VP88445","OAC274",8746873
8817069578,"10D","First",3,"VQ54186","HU2118",8835883
5904093042,"10D","First",3,"W181679","MU8497",6757183
5562901123,"10D","First",1,"W299434","HU9368",2462442
3890507325,"10E","Business",1,"C573194","AA2151",6889225
2261295939,"10E","Business",2,"DG44175","MU9378",2454852
6469826777,"10E","Business",2,"FJ26430","AA8136",7237653
8121511722,"10E","Business",2,"FQ75637","BGY204",6973679
7765894630,"10E","Business",2,"G217818","FD257",5795866
3258896383,"10E","Business",3,"O482585","GK122",7346253
9015626656,"10E","Business",3,"QD27517","CA6281",6611167
8912126739,"10E","Business",1,"SI46275","DL603",9686009
5127738278,"10E","Business",1,"W299434","HU5921",3536276
3597881714,"10E","Business",2,"YM41665","HU2525",2444832
5013960838,"10E","Business",1,"YV60564","MU5116",9727750
9550845432,"10E","Business",1,"ZN27898","CA5751",6317526
2957988394,"10E","Economic",1,"AP80260","MU6342",4658200
6913947097,"10E","Economic",1,"BA31518","IG881",8829451
3554025697,"10E","Economic",3,"BC62025","DL3573",5746845
3672158804,"10E","Economic",1,"C766347","KA882",2560771
4189422823,"10E","Economic",1,"FJ26430","AA9006",5667796
4923668504,"10E","Economic",1,"GL39439","NDN473",4635243
2114544596,"10E","Economic",3,"GR97278","HU9673",8790572
2350146799,"10E","Economic",2,"JH87790","Y7776",4975224
7921593167,"10E","Economic",1,"NZ16890","MU1419",5431243
4844518792,"10E","Economic",2,"WJ10999","FD153",5926866
3974192729,"10E","Economic",3,"ZS99861","MU3152",4243025
6166393596,"10E","First",3,"DP62487","DL808",5975174
1837694002,"10E","First",1,"ES88832","MU4588",3597288
2051976555,"10E","First",2,"FJ26430","AA8136",6155927
9641197053,"10E","First",2,"IT73428","UH370",7839965
1490987923,"10E","First",1,"KX33050","7W866",2699211
4280254353,"10E","First",2,"LU39394","IG132",6847017
8854672590,"10E","First",2,"PA47694","AA4030",9643507
4486083026,"10E","First",3,"QT43576","QL590",2061171
9892374465,"10E","First",2,"RK12506","AA4064",6888834
4142186255,"10E","First",3,"VE84838","IG716",2803398
3104281443,"10F","Business",2,"BC62025","DL9277",5801015
7937433811,"10F","Business",2,"HA25581","DL4017",3994546
9767633972,"10F","Business",2,"I268678","AA4785",6917961
6251935420,"10F","Business",1,"JL49802","UH484",2857194
5687234175,"10F","Business",1,"KH83527","NDN372",6776672
7049397248,"10F","Business",1,"OQ81096","DL2111",9427863
6386296840,"10F","Business",1,"QE16655","HU9119",4820344
5309273502,"10F","Business",1,"R594031","Y9792",9582019
7340812952,"10F","Business",2,"RI77716","SK870",9186577
8952822447,"10F","Business",3,"RK12506","AA7023",6599036
5240214204,"10F","Business",3,"RK12506","AA7204",5157086
2799950734,"10F","Business",3,"X582379","FNA515",9473402
7914471952,"10F","Business",2,"Y419823","RMK926",3370672
6410905722,"10F","Business",1,"YM41665","HU5084",5116204
8254677562,"10F","Economic",1,"D257190","AA7461",9553920
1759414629,"10F","Economic",1,"D412459","MU5047",2715792
5107938320,"10F","Economic",1,"DX22477","MU4307",8587145
4716649157,"10F","Economic",3,"ES88832","MU3836",3150994
9828046452,"10F","Economic",1,"F691541","UA8336",6746905
1179387821,"10F","Economic",3,"GR97278","HU7863",6438898
2077018967,"10F","Economic",3,"PY87755","L6 836",4692921
8015503105,"10F","Economic",2,"S938107","Z7634",6457130
4972789635,"10F","Economic",2,"V893208","HU1749",9743758
6261235361,"10F","Economic",1,"W422547","SE226",3920823
4128228816,"10F","Economic",1,"XR35145","DL3278",3995613
1335953801,"10F","Economic",3,"Y643177","BGY612",7898231
1541355755,"10F","Economic",3,"YV60564","MU4628",5156423
2973098246,"10F","Economic",1,"ZX97198","MU1051",6348401
7068026113,"10F","First",1,"BC62025","DL2045",2031860
4344851086,"10F","First",3,"BL51630","G660",6845160
5997618564,"10F","First",2,"CV85879","FD936",8004946
3960780661,"10F","First",3,"FX62042","MU952",7500017
3355078321,"10F","First",3,"HG61456","BUR159",2553129
3254210593,"10F","First",2,"JH87790","Y7776",9034833
7717734805,"10F","First",3,"K248623","AA6857",8395021
6343192609,"10F","First",1,"OX36471","CA1276",2006481
1477030969,"10F","First",1,"QN17200","UA7164",3012726
4177351529,"10F","First",1,"RC78819","Z7890",2719778
9399002572,"10F","First",3,"RE69147","FNA875",8654656
9486912383,"10F","First",3,"RT22519","OAC135",8018554
7124612723,"10F","First",1,"ZS99861","MU3152",8193093
1402669093,"11A","Business",2,"CA96298","DSV197",7642889
8291894419,"11A","Business",2,"GK68608","HU975",9904229
1040220818,"11A","Business",2,"GR97278","HU9673",5618369
8401605964,"11A","Business",2,"HO38381","UA7087",2393959
7856689602,"11A","Business",3,"HO38381","UA883",2105446
4947500661,"11A","Business",2,"LO15054","DL351",5981013
3169222160,"11A","Business",1,"OQ81096","DL557",2977154
2352878629,"11A","Business",1,"Q338746","DL3829",3592218
2723382111,"11A","Business",2,"QX17683","QL957",8519914
9730964061,"11A","Business",3,"ZS99861","MU9909",9457718
6350882653,"11A","Economic",3,"AV19617","NDN552",2920448
7857154460,"11A","Economic",1,"BC62025","DL8553",9060894
2950018091,"11A","Economic",1,"E428497","EA279",4972510
9964108973,"11A","Economic",1,"KH49170","G549",3513706
1807062346,"11A","Economic",3,"LU39394","IG132",5077232
7342601438,"11A","Economic",1,"Q338746","DL5142",3428010
5471109704,"11A","Economic",1,"QG80006","UA9592",3261063
1415307192,"11A","Economic",3,"VJ28448","DL9824",2942319
8507388410,"11A","Economic",1,"ZF17492","CA570",7129123
2488002412,"11A","First",1,"B764584","L6 902",3807655
5191427855,"11A","First",3,"CW14948","FV604",8916294
3087694183,"11A","First",2,"GK68608","HU4859",7640693
3721354169,"11A","First",1,"HB79303","UA417",8125374
6708874446,"11A","First",2,"IQ91358","AA8635",7033308
9078906069,"11A","First",1,"K672440","G348",7416296
3523414207,"11A","First",2,"LJ11388","SE374",3807655
9966946478,"11A","First",1,"NT46430","LH565",6313880
1939074664,"11A","First",2,"OM42334","UA5748",6647794
7278219942,"11A","First",1,"RK12506","AA7023",9349547
3073336032,"11A","First",2,"VR57164","CA2470",7397371
8654131968,"11B","Business",1,"DP62487","DL3571",2162587
4951588262,"11B","Business",1,"SI46275","DL4052",3202316
7469865457,"11B","Business",1,"TQ90743","CA5419",9302051
5121649486,"11B","Business",3,"ZN27898","CA1406",5015121
7719763628,"11B","Business",3,"ZN27898","CA7589",3018388
2855518950,"11B","Economic",2,"ET76777","HU6121",6277031
9182514952,"11B","Economic",1,"Q047322","FV105",7409591
2703941054,"11B","Economic",2,"WV45969","N7611",8652460
6343823063,"11B","Economic",2,"ZF17492","CA6301",3370565
8560305324,"11B","First",2,"BH61506","SK701",6532596
7478849498,"11B","First",2,"C034299","CA7525",2130642
1831430793,"11B","First",3,"D441026","HU2730",9393592
9680008652,"11B","First",1,"G635057","SK276",3334942
7019985691,"11B","First",2,"HB79303","UA5754",8509322
3096303859,"11B","First",2,"QL53792","L6 777",8532985
4359102327,"11B","First",2,"QZ42276","UA4587",9154645
4844545286,"11B","First",1,"RS77818","QZ848",2055837
2893622816,"11B","First",3,"UF25136","CA3181",8588309
3454453691,"11B","First",1,"XZ90550","DL8402",7184939
7965506475,"11B","First",1,"ZN27898","CA3577",5581192
5848036287,"11C","Business",3,"CX56054","MU8031",6457301
2929304190,"11C","Business",1,"D441026","HU710",6970125
6939438018,"11C","Business",1,"DP62487","DL808",7771861
9872338114,"11C","Business",3,"FZ17926","DL1745",4299311
6129575737,"11C","Business",3,"GF49122","MD647",8644151
3145983369,"11C","Business",1,"GI88503","UH493",4454176
9282945471,"11C","Business",2,"HA25581","DL3859",6003175
9489867920,"11C","Business",1,"HF48942","CA8935",9172141
7992571025,"11C","Business",2,"LA46531","RMK742",7820821
4223600460,"11C","Business",2,"QX84173","CA3507",7762141
3650959946,"11C","Business",1,"R590110","TK220",2740881
9285999929,"11C","Business",3,"RK12506","AA4064",5777664
1198176400,"11C","Business",3,"UF25136","CA7154",3189634
8987284160,"11C","Business",3,"WQ16876","CA7278",8041669
6114262531,"11C","Economic",2,"AT48713","MSE331",7548816
6592922414,"11C","Economic",3,"BW60821","Y9467",2607451
9159811941,"11C","Economic",2,"GF49122","MD647",9187134
5724750900,"11C","Economic",3,"HX72997","6O170",5505039
1699390747,"11C","Economic",3,"JM13886","NDN624",3258370
2561355086,"11C","Economic",2,"NI38385","CA9580",8395762
1432902601,"11C","Economic",2,"OX36471","CA1276",7328730
7837917836,"11C","Economic",3,"PH67351","N7458",7108065
2530008022,"11C","Economic",3,"UN57507","CA6400",9015661
2348921651,"11C","Economic",3,"X684490","RL404",5108205
9017955242,"11C","Economic",1,"YM41665","HU4495",6723982
3589184323,"11C","First",3,"DO87597","QZ974",8505254
4820215311,"11C","First",2,"FX47043","UA8878",9000175
3174265156,"11C","First",1,"IQ91358","AA4051",5543780
4337591195,"11C","First",1,"UJ58896","DL3282",8186353
1024192023,"11C","First",1,"VJ28448","DL9406",2738077
2693861357,"11C","First",3,"WQ16876","CA6377",9335482
2941236389,"11C","First",1,"ZI93930","CA7813",5733723
3086709024,"11D","Business",2,"DA46380","MSE880",8432351
9658355426,"11D","Business",2,"DK59405","UA6559",5509945
8904841774,"11D","Business",1,"HB79303","UA5802",2973865
8581906589,"11D","Business",2,"NQ47997","UA1428",9087372
6749140854,"11D","Business",2,"PE41912","BGY556",8726856
7452710457,"11D","Business",1,"PK60928","NDN685",9063654
1528278768,"11D","Business",2,"S938107","Z7634",7012556
1593848046,"11D","Business",3,"UF25136","CA6788",9130642
4212210510,"11D","Business",1,"V893208","HU9908",8942132
1757962482,"11D","Business",1,"ZF17492","CA4819",8717064
6985342809,"11D","Economic",2,"DR33825","MSE979",4961330
2163764058,"11D","Economic",1,"FT26660","AA9840",5255540
1427778713,"11D","Economic",1,"FZ17926","DL5325",4519293
1744966030,"11D","Economic",2,"HA25581","DL4017",6753061
7552511867,"11D","Economic",2,"HM58307","BUR855",9304684
5460523616,"11D","Economic",1,"IY87396","MU8560",9788659
1918181101,"11D","Economic",2,"JJ73583","BGY311",5025602
2762906319,"11D","Economic",3,"LC96741","FV442",4848210
3040937671,"11D","Economic",1,"LO75185","UA5329",6409783
1463116482,"11D","Economic",1,"MU39880","BGY378",5216010
1767643084,"11D","Economic",1,"QN91011","AA7258",6998356
7515621315,"11D","Economic",1,"R594031","Y9792",7774734
6367351386,"11D","Economic",2,"SQ55324","KA251",7600444
8799878389,"11D","Economic",3,"V694489","MSE471",2397967
3142551859,"11D","Economic",2,"W299434","HU6851",2398121
9390931627,"11D","Economic",3,"WQ16876","CA6377",3048357
7595019874,"11D","Economic",2,"ZD73866","NDN309",3111314
9388264189,"11D","Economic",1,"ZF17492","CA6301",6370498
8155835664,"11D","First",2,"C034299","CA7525",6117004
9568166054,"11D","First",1,"DK59405","UA9999",8444932
4845519553,"11D","First",3,"H834424","AA9440",8563638
8648275360,"11D","First",3,"MV15753","MH497",6927157
6380636430,"11D","First",1,"Q338746","DL1695",6538851
3320281721,"11D","First",3,"ZN27898","CA9092",8019237
5752897172,"11E","Business",3,"BC62025","DL824",9704681
9077918348,"11E","Business",2,"BG94656","UH809",4454948
1964385981,"11E","Business",1,"CK42389","BGY800",2767174
6684610513,"11E","Business",1,"DG44175","MU5717",4782612
7789328600,"11E","Business",2,"DX22477","MU4265",9457718
4246426433,"11E","Business",2,"FX47043","UA9593",9638614
6569452838,"11E","Business",2,"GJ65862","TK507",7393220
8993613375,"11E","Business",2,"HB79303","UA2048",4277928
3360498061,"11E","Business",1,"I268678","AA4431",2656585
1694582917,"11E","Business",3,"IX35219","AA4451",2946405
7284743891,"11E","Business",2,"LC96741","FV442",5802548
9874364700,"11E","Business",1,"LD25321","DSV588",2536598
4155593236,"11E","Business",2,"M696164","LH489",3036370
6341967577,"11E","Business",2,"MH89346","DL4643",6543840
7918935240,"11E","Business",2,"MN39894","HU1765",8315144
7955725054,"11E","Business",1,"Q338746","DL1226",3377710
6714592635,"11E","Business",1,"QH32707","YAP943",6196030
1400180714,"11E","Business",2,"UF25136","CA6788",5226252
8840660592,"11E","Business",3,"X391074","YUZ435",4773499
2020522256,"11E","Business",3,"X813744","RMK216",5866679
5541794010,"11E","Economic",2,"FN57083","FNA765",9643507
1981318036,"11E","Economic",1,"MH89346","DL9894",7297010
8914112824,"11E","Economic",2,"OQ81096","DL8377",3954501
5342301304,"11E","Economic",3,"QX84173","CA8545",9745073
6231389887,"11E","Economic",1,"RB23527","RMK284",3383052
3806150882,"11E","Economic",3,"ZN27898","CA4276",2560998
9901066687,"11E","First",1,"DK59405","UA2778",2616388
6187788010,"11E","First",3,"DX22477","MU2917",8159788
3790719001,"11E","First",3,"G447615","UA486",8380979
2573801498,"11E","First",2,"PA47694","AA4030",5242883
2522195729,"11E","First",1,"QZ42276","UA2887",6499935
5200832944,"11E","First",1,"YV60564","MU6161",5186113
5589947810,"11F","Business",3,"BV99256","MSE989",9629576
5842514562,"11F","Business",1,"CX56054","MU3597",2849707
8910685001,"11F","Business",1,"H834424","AA3471",2041668
8373437995,"11F","Business",1,"NZ49581","DSV825",8721643
6653447441,"11F","Business",3,"PA47694","AA523",6635869
7063804814,"11F","Business",2,"PA47694","AA5377",4813812
5730283121,"11F","Business",1,"PJ83131","LH755",4787140
7989802658,"11F","Business",3,"PK27135","Z7457",7904198
1275359369,"11F","Business",1,"RP80878","AS861",5875547
3062777940,"11F","Business",1,"YV81048","MH559",4368961
8713448008,"11F","Economic",3,"DP62487","DL9597",6973679
3337071106,"11F","Economic",3,"FT26660","AA9840",6191871
6347287979,"11F","Economic",3,"HO38381","UA9215",3481514
4665139247,"11F","Economic",2,"IQ91358","AA3755",9986438
6588748458,"11F","Economic",3,"Q338746","DL2987",3229596
2724052410,"11F","Economic",3,"RI57073","Y7165",7393220
4053615845,"11F","First",1,"AK15140","AA7076",2361138
7608631476,"11F","First",2,"GK68608","HU9452",4607373
8674803743,"11F","First",2,"J698977","MSE219",3430850
8147379863,"11F","First",1,"LX57455","6O186",2527261
9219611377,"11F","First",1,"MH89346","DL8622",3031920
9369153665,"11F","First",2,"MK59015","EA657",8611030
9638699145,"11F","First",1,"Q338746","DL1226",3629033
3910998056,"11F","First",1,"S938107","Z7634",5041813
4187138563,"11F","First",1,"UB67244","UA8535",3071626
4023586967,"11F","First",3,"UX15682","DL3004",9064739
9604169291,"11F","First",1,"VE84838","IG716",5862494
9104334605,"11F","First",2,"W299434","HU5602",9505712
2647841627,"11F","First",3,"YH85528","NDN437",6091712
2763114763,"11F","First",3,"ZJ61396","G867",8999468
1371889988,"11F","First",2,"ZS99861","MU2803",9417217
5766023240,"12A","Business",3,"CV85879","FD936",4527513
1028007586,"12A","Business",3,"F691541","UA2149",8849122
5604067661,"12A","Business",2,"FF57279","AA8660",9427863
4034747104,"12A","Business",1,"HF48942","CA5048",7355770
8530751377,"12A","Business",3,"IY87396","MU8990",2190857
7294298197,"12A","Business",2,"JH61684","SE406",6709271
5947134045,"12A","Business",3,"L072916","MSE116",6629347
7754004349,"12A","Business",1,"NI38385","CA7713",3554425
2403067301,"12A","Business",1,"QE16655","HU586",9033593
7780180490,"12A","Business",3,"UB67244","UA8001",3222806
2369388914,"12A","Business",3,"UF25136","CA8183",7033299
2655831034,"12A","Business",3,"UX15682","DL5874",4524515
6861100045,"12A","Business",2,"X015769","DSV144",4119727
9619052012,"12A","Business",3,"YM41665","HU2525",2250944
9947387200,"12A","Business",2,"Z648127","SE318",2666279
5909213138,"12A","Business",1,"ZF17492","CA2595",4454948
9346661615,"12A","Business",3,"ZI93930","CA3113",3965776
8630639745,"12A","Economic",2,"BC62025","DL9517",3477350
4876240841,"12A","Economic",2,"CD18852","VA341",4897553
5430022203,"12A","Economic",3,"ET76777","HU365",7728036
9531038616,"12A","Economic",2,"LO75185","UA4763",3611165
4375474503,"12A","Economic",3,"MH89346","DL126",2306872
9946867811,"12A","Economic",1,"NX10428","FNA509",3291493
2492726112,"12A","Economic",3,"PY66593","MH958",4536328
3336755259,"12A","Economic",2,"RK12506","AA7204",8590120
2059444565,"12A","Economic",2,"UD16361","GK628",5099558
3315911863,"12A","Economic",1,"XN21483","HU8363",6705395
5156815071,"12A","First",3,"AK15140","AA8092",6026330
9454344278,"12A","First",3,"B139849","Z7366",7108065
9751027038,"12A","First",3,"FZ17926","DL9187",9937495
2736966888,"12A","First",3,"FZ17926","DL9722",9402596
7460523131,"12A","First",3,"HA25581","DL7191",4503049
4439731674,"12A","First",1,"J969815","BGY407",4959371
1101388662,"12A","First",3,"PG82179","HU3252",5010864
2652749966,"12A","First",1,"UJ58896","DL2250",5539618
2089244152,"12B","Business",1,"AO28429","DSV562",4732884
4264065738,"12B","Business",1,"FZ17926","DL1745",9560246
4200458780,"12B","Business",1,"KP94984","L6 548",7824628
7646557028,"12B","Business",1,"OX36471","CA7465",4020382
9409397693,"12B","Business",2,"PV29441","RL629",9466054
5975850349,"12B","Business",2,"YW52660","G143",5748818
9602970994,"12B","Economic",3,"A161413","BUR119",4502384
6097997526,"12B","Economic",1,"BA31518","IG881",8977980
2870917434,"12B","Economic",2,"D257190","AA6188",8207990
5301577314,"12B","Economic",2,"F177006","YAP240",3458007
7760436748,"12B","Economic",1,"IT73428","UH370",7453818
4369358011,"12B","Economic",2,"LO15054","DL3294",3214158
1344997294,"12B","Economic",2,"YM41665","HU2525",9480943
1416867233,"12B","First",1,"CX56054","MU5407",4324471
3628589205,"12B","First",1,"D080282","MU7501",4476346
6606485798,"12B","First",1,"D912152","BUR579",6889773
9309626072,"12B","First",3,"DK59405","UA2778",4453172
6844476114,"12B","First",2,"FJ26430","AA2442",6091626
3119035094,"12B","First",3,"HA25581","DL4491",9122992
6847029471,"12B","First",1,"JJ73583","BGY311",7451969
2960372180,"12B","First",2,"L022139","G192",3735875
7088171803,"12B","First",2,"LV85219","6O176",9975963
1192981640,"12B","First",2,"PS91594","MSE900",9097012
3985853664,"12B","First",2,"RK12506","AA1270",8794916
7430492459,"12B","First",1,"SI46275","DL3409",4546897
2648583170,"12B","First",3,"T170274","NDN553",7394975
4758549493,"12B","First",2,"TQ90743","CA9895",8745274
1291610226,"12B","First",2,"UL56749","Z7828",3184883
5280830773,"12B","First",1,"UN57013","SK994",4001624
5299572922,"12B","First",2,"UX15682","DL6319",7042996
7276249957,"12B","First",1,"VQ54186","HU999",9364714
8459032135,"12B","First",2,"XQ84037","IG829",8551439
8092086574,"12C","Business",2,"D080282","MU3742",7745501
7766785218,"12C","Business",3,"F691541","UA9595",9970346
7111284063,"12C","Business",1,"G447615","UA9107",5255540
6324448130,"12C","Business",2,"IX35219","AA2490",2420884
2922363855,"12C","Business",2,"JM78016","MSE373",9496441
4313750705,"12C","Business",2,"NQ47997","UA7394",6867035
1436118122,"12C","Business",1,"QZ42276","UA2841",8421120
2222909686,"12C","Business",2,"UN57507","CA6135",6797373
1123403594,"12C","Business",1,"XZ90550","DL8434",3983812
5092037651,"12C","Economic",2,"DA46380","MSE880",6449978
6735850644,"12C","Economic",3,"E151097","QL607",7079952
1182864614,"12C","Economic",1,"LO75185","UA5329",7861558
6849464815,"12C","Economic",1,"LV85219","6O176",5301844
8077536538,"12C","Economic",2,"P625790","DSV209",3372623
6958856283,"12C","Economic",1,"UJ58896","DL8489",9087372
2383541561,"12C","Economic",3,"XN21483","HU680",9308875
